Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper
Augsburg,2,28.0,39,4,1,2,2,38.4,0.3,1.4,0.05,182,466,39.1,788,105,41.1,35.1,236,60.2,45.3,472,19,4.0,32,1.14
Bayern Munich,4,28.0,27,1,0,3,0,21.2,0.36,-5.8,-0.21,109,246,44.3,1026,97,21.4,28.2,120,21.7,26.4,204,12,5.9,54,1.93
Bochum,2,28.0,60,3,2,6,0,54.0,0.38,-6.0,-0.21,300,676,44.4,893,80,54.5,37.6,249,75.9,50.3,387,14,3.6,40,1.43
Dortmund,2,28.0,43,3,0,5,1,39.9,0.35,-2.1,-0.07,91,292,31.2,914,102,25.5,34.8,177,33.3,29.0,347,16,4.6,34,1.21
Eint Frankfurt,2,28.0,42,1,0,10,2,44.0,0.29,4.0,0.14,92,328,28.0,797,137,33.5,28.7,221,27.6,27.5,461,31,6.7,33,1.18
Freiburg,2,28.0,44,2,1,6,0,43.3,0.32,-0.7,-0.02,167,448,37.3,1042,122,34.1,35.1,204,45.6,38.3,396,34,8.6,29,1.04
Gladbach,4,28.0,41,7,1,3,2,44.7,0.27,5.7,0.2,166,377,44.0,1034,125,28.7,31.2,238,33.6,30.0,497,31,6.2,22,0.79
Heidenheim,1,28.0,53,5,0,6,0,48.1,0.32,-4.9,-0.17,132,371,35.6,853,131,33.3,34.2,235,37.0,37.2,396,18,4.5,18,0.64
Hoffenheim,2,28.0,52,3,0,7,2,53.4,0.37,3.4,0.12,153,431,35.5,851,128,41.5,38.7,180,43.3,36.3,416,18,4.3,27,0.96
Holstein Kiel,2,28.0,68,4,3,6,2,53.4,0.32,-12.6,-0.45,183,487,37.6,874,133,39.5,31.8,251,56.6,44.3,546,28,5.1,19,0.68
Leverkusen,2,28.0,34,3,1,2,3,31.2,0.26,0.2,0.01,120,292,41.1,678,101,34.1,31.7,182,33.5,29.8,281,13,4.6,33,1.18
Mainz 05,1,28.0,32,3,2,6,0,37.6,0.29,5.6,0.2,156,497,31.4,814,120,48.2,38.5,211,49.8,42.0,487,42,8.6,52,1.86
RB Leipzig,2,28.0,35,2,1,4,0,38.8,0.3,3.8,0.14,71,189,37.6,657,138,19.3,24.2,195,31.8,33.1,409,21,5.1,33,1.18
St. Pauli,1,28.0,34,1,0,5,1,38.9,0.32,5.9,0.21,144,419,34.4,999,99,36.8,32.6,193,26.4,25.9,362,19,5.2,22,0.79
Stuttgart,1,28.0,44,2,1,6,1,37.9,0.31,-5.1,-0.18,144,359,40.1,913,117,34.5,31.5,178,24.7,25.8,344,14,4.1,44,1.57
Union Berlin,2,28.0,39,2,1,1,1,40.2,0.33,2.2,0.08,146,375,38.9,702,137,36.5,29.9,201,59.2,44.1,443,31,7.0,24,0.86
Werder Bremen,1,28.0,53,3,2,3,3,44.5,0.33,-5.5,-0.2,106,293,36.2,893,149,29.3,31.4,188,16.5,23.1,386,30,7.8,18,0.64
Wolfsburg,2,28.0,42,2,0,10,1,47.9,0.35,6.9,0.24,181,502,36.1,883,120,45.2,36.6,227,45.4,37.3,418,20,4.8,16,0.57
