Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0
Augsburg,29,28.0,395,256,167,176,52,199,362,55.0,163,351,102,249,294,689,814
Bayern Munich,28,28.0,433,257,142,202,89,211,376,56.1,165,262,41,221,195,628,397
Bochum,26,28.0,499,298,269,166,64,266,502,53.0,236,398,119,279,252,751,730
Dortmund,28,28.0,436,268,195,165,76,221,401,55.1,180,313,82,231,193,629,570
Eint Frankfurt,26,28.0,458,283,218,168,72,230,429,53.6,199,367,116,251,251,709,800
Freiburg,26,28.0,431,269,194,193,44,205,397,51.6,192,325,95,230,224,655,618
Gladbach,26,28.0,416,231,221,149,46,200,384,52.1,184,368,134,234,255,671,861
Heidenheim,26,28.0,527,303,274,209,44,259,483,53.6,224,368,90,278,262,789,792
Hoffenheim,34,28.0,472,278,214,200,58,221,429,51.5,208,379,120,259,232,704,735
Holstein Kiel,27,28.0,444,268,239,144,61,224,427,52.5,203,348,132,216,249,693,881
Leverkusen,23,28.0,327,214,126,131,70,154,303,50.8,149,242,56,186,206,533,528
Mainz 05,24,28.0,469,274,195,207,67,191,377,50.7,186,357,114,243,288,757,813
RB Leipzig,29,28.0,455,273,209,192,54,211,431,49.0,220,415,127,288,245,700,811
St. Pauli,27,28.0,469,281,222,187,60,225,437,51.5,212,331,74,257,224,693,739
Stuttgart,28,28.0,407,238,174,170,63,213,402,53.0,189,339,87,252,241,648,662
Union Berlin,27,28.0,435,248,212,178,45,222,417,53.2,195,348,94,254,259,694,824
Werder Bremen,23,28.0,472,277,213,199,60,238,444,53.6,206,371,114,257,264,736,661
Wolfsburg,26,28.0,395,241,211,136,48,194,442,43.9,248,364,110,254,256,651,789
