Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Augsburg,29,28.0,550,19.64,390,62,28,38,27,5,57,2.04,37,7,5,4,3
Bayern Munich,28,28.0,949,33.89,729,55,76,48,34,7,127,4.54,85,4,15,12,8
Bochum,26,28.0,598,21.36,430,68,19,43,27,11,44,1.57,25,5,3,6,3
Dortmund,28,28.0,717,25.61,520,52,65,47,21,12,90,3.21,62,4,11,6,4
Eint Frankfurt,26,28.0,729,26.04,503,56,49,71,32,18,92,3.29,51,7,15,10,5
Freiburg,26,28.0,596,21.29,426,50,27,45,37,11,65,2.32,44,6,2,8,4
Gladbach,26,28.0,602,21.5,441,59,23,41,25,13,79,2.82,63,6,1,5,3
Heidenheim,26,28.0,595,21.25,404,61,36,45,41,8,52,1.86,29,6,3,9,4
Hoffenheim,34,28.0,630,22.5,473,54,33,36,29,5,59,2.11,42,3,5,6,3
Holstein Kiel,27,28.0,540,19.29,387,59,16,37,33,8,64,2.29,39,6,3,8,5
Leverkusen,23,28.0,783,27.96,565,65,50,64,28,11,106,3.79,76,7,7,13,2
Mainz 05,24,28.0,573,20.46,435,52,24,31,23,8,76,2.71,62,1,0,8,4
RB Leipzig,29,28.0,605,21.61,449,55,32,32,27,10,71,2.54,51,3,4,10,3
St. Pauli,27,28.0,569,20.32,387,59,33,43,33,14,39,1.39,26,1,7,3,1
Stuttgart,28,28.0,651,23.25,499,41,36,51,18,6,80,2.86,55,3,8,10,3
Union Berlin,27,28.0,609,21.75,419,80,23,45,35,7,48,1.71,30,5,4,5,3
Werder Bremen,23,28.0,617,22.04,473,47,19,40,30,8,77,2.75,63,3,1,5,4
Wolfsburg,26,28.0,603,21.54,411,65,30,50,38,9,84,3.0,51,9,4,10,8
