Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Augsburg,2,28,28,2520,28.0,39,1.39,120,83,70.8,10,9,9,10,35.7,4,4,0,0
Bayern Munich,4,28,28,2520,28.0,27,0.96,59,32,55.9,21,5,2,12,42.9,2,1,0,1
Bochum,2,28,28,2520,28.0,60,2.14,132,70,56.8,4,6,18,3,10.7,6,3,2,1
Dortmund,2,28,28,2520,28.0,43,1.54,109,66,63.3,12,5,11,5,17.9,3,3,0,0
Eint Frankfurt,2,28,28,2520,28.0,42,1.5,149,107,72.5,14,6,8,6,21.4,3,1,2,0
Freiburg,2,28,28,2520,28.0,44,1.57,131,85,67.9,12,6,10,10,35.7,4,2,2,0
Gladbach,4,28,28,2516,28.0,41,1.47,144,104,76.4,13,5,10,7,25.0,8,7,1,0
Heidenheim,1,28,28,2520,28.0,53,1.89,139,86,65.5,6,4,18,6,21.4,5,5,0,0
Hoffenheim,2,28,28,2520,28.0,52,1.86,141,89,65.2,6,9,13,3,10.7,5,3,2,0
Holstein Kiel,2,28,28,2520,28.0,68,2.43,159,92,59.7,4,6,18,2,7.1,5,4,1,0
Leverkusen,2,28,28,2520,28.0,34,1.21,110,79,71.8,18,8,2,7,25.0,3,3,0,0
Mainz 05,1,28,28,2520,28.0,32,1.14,123,90,76.4,13,7,8,9,32.1,4,3,1,0
RB Leipzig,2,28,28,2520,28.0,35,1.25,126,90,73.8,12,9,7,13,46.4,3,2,1,0
St. Pauli,1,28,28,2520,28.0,34,1.21,113,77,70.8,7,5,16,8,28.6,4,1,3,0
Stuttgart,1,28,28,2520,28.0,44,1.57,118,74,64.4,11,7,10,5,17.9,3,2,1,0
Union Berlin,2,28,28,2520,28.0,39,1.39,111,70,66.7,9,7,12,7,25.0,5,2,3,0
Werder Bremen,1,28,28,2520,28.0,53,1.89,127,77,60.6,11,6,11,7,25.0,3,3,0,0
Wolfsburg,2,28,28,2520,28.0,42,1.5,131,89,69.5,10,8,10,5,17.9,3,2,1,0
