Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels
Augsburg,29,28.0,73,3,2,309,308,48,467,294,256,2,4,2,1211,448,395
Bayern Munich,28,28.0,43,1,0,247,288,47,522,195,257,6,2,0,1394,349,272
Bochum,26,28.0,58,1,0,386,251,47,540,252,298,2,6,0,1164,587,547
Dortmund,28,28.0,64,6,3,270,291,36,604,193,268,3,3,1,1227,392,342
Eint Frankfurt,26,28.0,46,1,1,280,247,48,451,251,283,2,3,2,1224,362,359
Freiburg,26,28.0,46,2,1,246,263,48,472,224,269,3,4,0,1152,483,486
Gladbach,26,28.0,49,3,2,294,276,48,479,255,231,4,8,2,1086,439,383
Heidenheim,26,28.0,55,1,0,328,322,40,484,262,303,3,5,0,1174,468,546
Hoffenheim,34,28.0,53,2,0,316,311,51,623,232,278,2,5,2,1231,461,494
Holstein Kiel,27,28.0,66,3,2,335,298,42,397,249,268,3,5,2,1063,449,506
Leverkusen,23,28.0,48,1,1,257,290,50,599,206,214,4,3,3,1217,360,333
Mainz 05,24,28.0,62,4,2,335,259,63,514,288,274,2,4,0,1274,527,583
RB Leipzig,29,28.0,55,4,2,314,280,69,486,245,273,3,3,0,1294,404,366
St. Pauli,27,28.0,37,1,0,282,287,54,517,224,281,2,4,1,1127,455,543
Stuttgart,28,28.0,63,4,2,293,346,53,508,241,238,4,3,1,1153,375,376
Union Berlin,27,28.0,65,1,0,361,264,56,528,259,248,3,5,1,1146,556,554
Werder Bremen,23,28.0,62,4,3,279,326,61,551,264,277,3,3,3,1176,376,375
Wolfsburg,26,28.0,66,2,0,301,303,40,450,256,241,4,3,1,1108,435,466
