Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes
Augsburg,29,28.0,11924,10567,1309,340,30,32,467,544,122,42,55,1,9119,48
Bayern Munich,28,28.0,21543,20335,1161,304,104,93,522,491,191,110,19,1,19057,47
Bochum,26,28.0,11402,10008,1347,300,30,33,540,584,127,81,43,0,8204,47
Dortmund,28,28.0,16925,15555,1334,359,54,83,604,566,164,83,51,3,14243,36
Eint Frankfurt,26,28.0,14236,12973,1215,319,39,55,451,471,135,74,43,0,11614,48
Freiburg,26,28.0,13877,12664,1165,294,30,49,472,486,109,62,34,0,10919,48
Gladbach,26,28.0,14719,13386,1285,327,76,62,479,527,124,53,56,0,11966,48
Heidenheim,26,28.0,11845,10446,1359,340,17,63,484,591,114,60,39,0,8850,40
Hoffenheim,34,28.0,13864,12493,1320,348,37,54,623,582,131,47,53,2,10797,51
Holstein Kiel,27,28.0,11741,10367,1332,341,18,46,397,544,100,48,39,1,8888,42
Leverkusen,23,28.0,17881,16543,1288,332,57,93,599,526,186,98,43,0,15180,50
Mainz 05,24,28.0,13522,12169,1290,303,40,61,514,591,125,45,51,6,10245,63
RB Leipzig,29,28.0,15149,13839,1241,331,62,39,486,520,132,47,54,0,12222,69
St. Pauli,27,28.0,12746,11386,1306,342,24,56,517,585,126,54,48,2,9752,54
Stuttgart,28,28.0,15728,14337,1338,410,53,59,508,533,143,58,36,3,12996,53
Union Berlin,27,28.0,11559,10262,1241,292,16,44,528,545,136,60,62,4,8416,56
Werder Bremen,23,28.0,14343,12941,1341,383,43,67,551,556,134,56,61,0,11425,61
Wolfsburg,26,28.0,12458,11109,1309,345,39,96,450,537,131,80,48,1,9563,40
