Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Augsburg,29,28.0,9119,11924,76.5,168511,66910,3849,4532,84.9,4121,4835,85.2,980,1897,51.7,23,19.1,26.8,3.9,225,708,195,56
Bayern Munich,28,28.0,19057,21543,88.5,314931,98217,9476,10163,93.2,7980,8677,92.0,1286,1927,66.7,50,49.8,63.4,0.2,414,1784,386,61
Bochum,26,28.0,8204,11402,72.0,162587,70221,3067,3719,82.5,3801,4698,80.9,1169,2299,50.8,20,24.6,28.9,-4.6,253,672,193,66
Dortmund,28,28.0,14243,16925,84.2,247492,82559,6458,7072,91.3,6342,7041,90.1,1174,2059,57.0,39,39.3,42.6,-0.3,312,1119,268,76
Eint Frankfurt,26,28.0,11614,14236,81.6,192829,71116,5638,6227,90.5,4732,5460,86.7,908,1783,50.9,35,35.6,36.0,-0.6,299,849,259,44
Freiburg,26,28.0,10919,13877,78.7,195502,70459,4628,5325,86.9,4985,5758,86.6,1023,2010,50.9,27,24.8,29.8,2.2,238,806,206,63
Gladbach,26,28.0,11966,14719,81.3,207221,73213,5512,6150,89.6,5154,5936,86.8,1044,1884,55.4,33,32.7,29.7,0.3,259,719,223,69
Heidenheim,26,28.0,8850,11845,74.7,172617,67801,3266,3990,81.9,4229,5023,84.2,1172,2198,53.3,21,23.7,27.1,-2.7,243,663,194,73
Hoffenheim,34,28.0,10797,13864,77.9,188711,71401,4837,5524,87.6,4605,5505,83.7,1015,2025,50.1,20,26.5,33.5,-6.5,261,863,254,97
Holstein Kiel,27,28.0,8888,11741,75.7,169932,66845,3417,3994,85.6,4266,5068,84.2,1061,2130,49.8,23,20.8,23.6,2.2,219,577,156,60
Leverkusen,23,28.0,15180,17881,84.9,248275,83071,7841,8531,91.9,5789,6560,88.2,1161,1962,59.2,46,37.2,44.4,8.8,331,1337,262,66
Mainz 05,24,28.0,10245,13522,75.8,183283,70596,4622,5351,86.4,4331,5192,83.4,1059,2200,48.1,32,30.2,37.3,1.8,246,827,252,73
RB Leipzig,29,28.0,12222,15149,80.7,205798,75761,5687,6494,87.6,5351,6218,86.1,900,1640,54.9,29,30.5,34.1,-1.5,265,931,257,49
St. Pauli,27,28.0,9752,12746,76.5,173180,66588,4223,4892,86.3,4310,5124,84.1,946,1984,47.7,20,23.4,24.3,-3.4,243,758,169,63
Stuttgart,28,28.0,12996,15728,82.6,218028,79877,6450,7131,90.5,5202,5957,87.3,1063,1928,55.1,35,35.1,40.8,-0.1,288,1036,287,70
Union Berlin,27,28.0,8416,11559,72.8,150529,62977,3798,4486,84.7,3358,4225,79.5,959,1988,48.2,18,20.8,28.6,-2.8,253,668,221,70
Werder Bremen,23,28.0,11425,14343,79.7,203366,73483,4782,5469,87.4,5098,5938,85.9,1159,2032,57.0,32,29.6,34.6,2.4,259,762,282,80
Wolfsburg,26,28.0,9563,12458,76.8,180356,66720,3892,4607,84.5,4280,5000,85.6,1167,2182,53.5,32,27.3,29.8,4.7,250,829,198,43
