Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG)
Augsburg,29,27.5,28,2520,90,100,28.0,308,80,176,129,23,121,1.39,31,39,-8,-0.29,26.7,37.7,-11.0
Bayern Munich,28,28.4,28,2520,90,100,28.0,308,82,185,123,20,129,2.43,81,27,54,1.93,69.6,19.4,50.2
Bochum,26,28.8,28,2520,90,100,28.0,308,82,180,127,20,125,0.71,28,59,-31,-1.11,33.4,57.1,-23.7
Dortmund,28,27.3,28,2520,90,100,28.0,308,81,179,125,21,124,1.46,52,43,9,0.32,49.5,34.3,15.2
Eint Frankfurt,26,25.7,28,2520,90,100,28.0,308,81,170,137,20,115,1.71,55,42,13,0.46,53.2,42.2,11.0
Freiburg,26,28.0,28,2520,90,100,28.0,308,82,178,129,18,123,1.5,38,44,-6,-0.21,36.6,36.6,0.0
Gladbach,26,27.2,28,2520,90,100,28.0,308,83,171,135,16,117,1.57,45,41,4,0.14,42.9,50.8,-7.9
Heidenheim,26,27.6,28,2520,90,100,28.0,308,80,176,132,23,120,0.79,32,53,-21,-0.75,34.4,45.0,-10.6
Hoffenheim,34,27.1,28,2520,90,100,28.0,308,80,179,127,22,123,0.96,34,52,-18,-0.64,34.7,46.9,-12.2
Holstein Kiel,27,26.3,28,2520,90,100,28.0,308,79,173,134,25,117,0.64,39,68,-29,-1.04,31.6,49.1,-17.6
Leverkusen,23,27.8,28,2520,90,100,28.0,308,83,199,110,18,139,2.21,63,34,29,1.04,50.7,28.8,21.9
Mainz 05,24,28.2,28,2520,90,100,28.0,308,82,191,118,18,134,1.64,46,32,14,0.5,39.6,40.3,-0.7
RB Leipzig,29,26.3,28,2520,90,100,28.0,308,81,174,130,21,118,1.61,44,35,9,0.32,39.0,42.6,-3.6
St. Pauli,27,27.7,28,2520,90,100,28.0,308,84,190,118,15,134,0.93,23,34,-11,-0.39,30.3,37.3,-7.0
Stuttgart,28,25.5,28,2520,90,100,28.0,308,81,171,134,19,116,1.43,51,44,7,0.25,48.7,41.8,6.9
Union Berlin,27,27.9,28,2520,90,100,28.0,308,79,170,139,23,113,1.18,26,40,-14,-0.5,32.2,40.2,-8.0
Werder Bremen,23,28.3,28,2520,90,100,28.0,308,82,175,130,18,117,1.39,45,53,-8,-0.29,38.9,40.4,-1.5
Wolfsburg,26,25.9,28,2520,90,100,28.0,308,82,182,127,19,124,1.36,49,42,7,0.25,40.6,42.1,-1.5
