Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving
Augsburg,29,43.0,28.0,15319,1830,5064,6697,3728,540,15317,455,190,41.8,225,49.5,8048,38563,18759,360,282,83,488,239,9041
Bayern Munich,28,68.9,28.0,24588,1343,5117,12443,7173,1004,24578,670,323,48.2,300,44.8,14925,75136,37779,678,551,207,404,216,18945
Bochum,26,44.0,28.0,14776,1894,5226,6431,3253,550,14774,348,130,37.4,204,58.6,7225,34258,15228,305,226,66,431,190,8109
Dortmund,28,59.9,28.0,20125,1749,5771,9793,4734,751,20121,630,293,46.5,276,43.8,12095,59710,30407,574,411,174,427,260,14105
Eint Frankfurt,26,49.9,28.0,17707,2153,6132,7891,3845,725,17702,520,257,49.4,231,44.4,10338,50419,25222,494,373,157,470,222,11517
Freiburg,26,49.0,28.0,16846,1888,5680,7738,3553,570,16842,409,186,45.5,195,47.7,8523,45299,22302,363,267,102,357,211,10729
Gladbach,26,50.0,28.0,17999,2390,6891,7896,3340,576,17995,395,170,43.0,199,50.4,9816,48761,24344,429,293,110,340,228,11837
Heidenheim,26,43.3,28.0,15320,1945,5867,6470,3171,529,15315,438,194,44.3,207,47.3,8107,42586,21733,424,283,76,453,189,8771
Hoffenheim,34,49.5,28.0,17192,1955,5528,7714,4086,621,17189,418,194,46.4,199,47.6,9048,42901,20967,400,315,98,354,252,10702
Holstein Kiel,27,44.3,28.0,15176,2342,6421,6337,2553,477,15172,339,148,43.7,160,47.2,7085,34253,16329,305,233,66,417,204,8811
Leverkusen,23,58.8,28.0,20762,1518,4704,10120,6057,800,20757,496,220,44.4,248,50.0,11568,55611,28999,554,418,157,379,211,15045
Mainz 05,24,49.5,28.0,17093,1874,5650,7595,3980,615,17090,418,182,43.5,212,50.7,8521,39545,17693,373,259,92,500,243,10171
RB Leipzig,29,52.7,28.0,18633,1830,5659,9153,3991,647,18630,466,212,45.5,207,44.4,9556,44751,22705,420,310,111,422,272,12157
St. Pauli,27,44.5,28.0,15951,1853,5588,6919,3576,546,15949,362,153,42.3,170,47.0,7638,38352,19022,359,276,101,401,225,9628
Stuttgart,28,55.7,28.0,18905,1924,5739,8849,4457,744,18900,489,226,46.2,238,48.7,10320,51192,24252,438,318,145,427,264,12856
Union Berlin,27,41.0,28.0,14983,1728,5171,6473,3471,608,14980,366,154,42.1,185,50.5,7380,35167,16700,330,213,92,393,237,8341
Werder Bremen,23,49.5,28.0,17570,2018,6340,7429,3936,662,17566,396,156,39.4,207,52.3,10159,48243,22782,400,285,106,396,220,11340
Wolfsburg,26,45.9,28.0,15759,1850,5345,6925,3625,588,15754,423,171,40.4,221,52.2,8437,40572,19479,391,281,104,409,173,9454
