Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected
Augsburg,29,28.0,31,308,92,29.9,11.0,3.29,0.1,0.33,17.5,8,1,2,26.7,25.1,0.08,4.3
Bayern Munich,28,28.0,78,518,207,40.0,18.5,7.39,0.13,0.33,16.6,17,9,10,69.6,61.9,0.12,8.4
Bochum,26,28.0,27,353,105,29.7,12.61,3.75,0.07,0.25,17.6,8,1,2,33.4,31.8,0.09,-6.4
Dortmund,28,28.0,50,400,126,31.5,14.29,4.5,0.12,0.37,16.0,9,4,4,49.5,46.4,0.12,0.5
Eint Frankfurt,26,28.0,55,412,142,34.5,14.71,5.07,0.13,0.37,16.5,12,3,5,53.2,49.5,0.12,1.8
Freiburg,26,28.0,36,335,110,32.8,11.96,3.93,0.11,0.33,17.4,15,0,4,36.6,33.5,0.11,-0.6
Gladbach,26,28.0,44,338,127,37.6,12.07,4.54,0.12,0.32,16.3,5,3,4,42.9,39.6,0.12,1.1
Heidenheim,26,28.0,32,333,103,30.9,11.89,3.68,0.08,0.26,17.1,10,5,5,34.4,30.5,0.09,-2.4
Hoffenheim,34,28.0,34,353,117,33.1,12.61,4.18,0.09,0.26,17.7,8,3,3,34.7,32.4,0.09,-0.7
Holstein Kiel,27,28.0,39,301,109,36.2,10.75,3.89,0.12,0.33,17.5,10,3,4,31.6,28.4,0.1,7.4
Leverkusen,23,28.0,61,432,153,35.4,15.43,5.46,0.14,0.39,16.7,11,2,5,50.7,46.7,0.11,10.3
Mainz 05,24,28.0,44,324,116,35.8,11.57,4.14,0.13,0.35,16.6,8,3,3,39.6,37.3,0.12,4.4
RB Leipzig,29,28.0,42,341,118,34.6,12.18,4.21,0.12,0.34,16.4,7,2,3,39.0,36.6,0.11,3.0
St. Pauli,27,28.0,22,322,89,27.6,11.5,3.18,0.07,0.24,17.4,11,1,2,30.3,28.7,0.09,-8.3
Stuttgart,28,28.0,48,358,134,37.4,12.79,4.79,0.13,0.34,15.6,7,2,5,48.7,44.8,0.13,-0.7
Union Berlin,27,28.0,27,357,99,27.7,12.75,3.54,0.07,0.24,16.6,7,3,3,32.2,29.8,0.08,-5.2
Werder Bremen,23,28.0,44,339,111,32.7,12.11,3.96,0.12,0.38,16.1,11,2,4,38.9,36.3,0.11,5.1
Wolfsburg,26,28.0,47,350,113,32.3,12.5,4.04,0.12,0.38,17.4,11,4,5,40.6,36.5,0.11,6.4
