Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Augsburg,29,27.5,43.0,28,308,2520,28.0,31,23,54,30,1,2,73,3,26.7,25.1,19.1,44.3,360,917,1.11,0.82,1.93,1.07,1.89,0.95,0.68,1.64,0.9
Bayern Munich,28,28.4,68.9,28,308,2520,28.0,78,50,128,69,9,10,43,1,69.6,61.9,49.8,111.7,678,1773,2.79,1.79,4.57,2.46,4.25,2.49,1.78,4.27,2.21
Bochum,26,28.8,44.0,28,308,2520,28.0,27,20,47,26,1,2,58,1,33.4,31.8,24.6,56.4,305,865,0.96,0.71,1.68,0.93,1.64,1.19,0.88,2.07,1.14
Dortmund,28,27.3,59.9,28,308,2520,28.0,50,39,89,46,4,4,64,6,49.5,46.4,39.3,85.8,574,1318,1.79,1.39,3.18,1.64,3.04,1.77,1.41,3.17,1.66
Eint Frankfurt,26,25.7,49.9,28,308,2520,28.0,55,35,90,52,3,5,46,1,53.2,49.5,35.6,85.1,494,1120,1.96,1.25,3.21,1.86,3.11,1.9,1.27,3.17,1.77
Freiburg,26,28.0,49.0,28,308,2520,28.0,36,27,63,36,0,4,46,2,36.6,33.5,24.8,58.4,363,946,1.29,0.96,2.25,1.29,2.25,1.31,0.89,2.2,1.2
Gladbach,26,27.2,50.0,28,308,2520,28.0,44,33,77,41,3,4,49,3,42.9,39.6,32.7,72.3,429,923,1.57,1.18,2.75,1.46,2.64,1.53,1.17,2.7,1.41
Heidenheim,26,27.6,43.3,28,308,2520,28.0,32,21,53,27,5,5,55,1,34.4,30.5,23.7,54.1,424,802,1.14,0.75,1.89,0.96,1.71,1.23,0.85,2.07,1.09
Hoffenheim,34,27.1,49.5,28,308,2520,28.0,34,20,54,31,3,3,53,2,34.7,32.4,26.5,58.9,400,1032,1.21,0.71,1.93,1.11,1.82,1.24,0.95,2.19,1.16
Holstein Kiel,27,26.3,44.3,28,308,2520,28.0,39,23,62,36,3,4,66,3,31.6,28.4,20.8,49.2,305,746,1.39,0.82,2.21,1.29,2.11,1.13,0.74,1.87,1.01
Leverkusen,23,27.8,58.8,28,308,2520,28.0,61,46,107,59,2,5,48,1,50.7,46.7,37.2,83.9,554,1414,2.18,1.64,3.82,2.11,3.75,1.81,1.33,3.14,1.67
Mainz 05,24,28.2,49.5,28,308,2520,28.0,44,32,76,41,3,3,62,4,39.6,37.3,30.2,67.5,373,1054,1.57,1.14,2.71,1.46,2.61,1.41,1.08,2.49,1.33
RB Leipzig,29,26.3,52.7,28,308,2520,28.0,42,29,71,40,2,3,55,4,39.0,36.6,30.5,67.1,420,1118,1.5,1.04,2.54,1.43,2.46,1.39,1.09,2.48,1.31
St. Pauli,27,27.7,44.5,28,308,2520,28.0,22,20,42,21,1,2,37,1,30.3,28.7,23.4,52.1,359,912,0.79,0.71,1.5,0.75,1.46,1.08,0.84,1.92,1.02
Stuttgart,28,25.5,55.7,28,308,2520,28.0,48,35,83,46,2,5,63,4,48.7,44.8,35.1,80.0,438,1181,1.71,1.25,2.96,1.64,2.89,1.74,1.25,3.0,1.6
Union Berlin,27,27.9,41.0,28,308,2520,28.0,27,18,45,24,3,3,65,1,32.2,29.8,20.8,50.6,330,895,0.96,0.64,1.61,0.86,1.5,1.15,0.74,1.89,1.06
Werder Bremen,23,28.3,49.5,28,308,2520,28.0,44,32,76,42,2,4,62,4,38.9,36.3,29.6,65.9,400,1110,1.57,1.14,2.71,1.5,2.64,1.39,1.06,2.45,1.3
Wolfsburg,26,25.9,45.9,28,308,2520,28.0,47,32,79,43,4,5,66,2,40.6,36.5,27.3,63.8,391,988,1.68,1.14,2.82,1.54,2.68,1.45,0.97,2.42,1.3
