Rank,Player,Value
1.0,Robert Lewandowski  •  Barcelona,27
2.0,Kylian Mbappé  •  Real Madrid,25
3.0,Raphinha  •  Barcelona,21
4.0,Lamine Yamal  •  Barcelona,17
,Ante Budimir  •  Osasuna,17
6.0,Vinicius Júnior  •  Real Madrid,16
7.0,Jude Bellingham  •  Real Madrid,15
8.0,Julián Álvarez  •  Atlético Madrid,14
,Oihan Sancet  •  Athletic Club,14
10.0,Dodi Lukebakio  •  Sevilla,13
,Alex Baena  •  Villarreal,13
,Iñaki Williams  •  Athletic Club,13
,Ayoze Pérez  •  Villarreal,13
,Antoine Griezmann  •  Atlético Madrid,13
,Alexander Sørloth  •  Atlético Madrid,13
