Rank,Player,Value
1.0,Juanlu Sánchez  •  Sevilla,0.33
2.0,Oihan Sancet  •  Athletic Club,0.27
3.0,Borja Mayoral  •  Getafe,0.25
,Ferrán Torres  •  Barcelona,0.25
5.0,Pablo Durán  •  Celta Vigo,0.24
6.0,Leandro Cabrera  •  Espanyol,0.23
7.0,Robert Lewandowski  •  Barcelona,0.22
8.0,Rodrigo De Paul  •  Atlético Madrid,0.21
,Hugo Duro  •  Valencia,0.21
,Ayoze Pérez  •  Villarreal,0.21
,Daniel Vivian  •  Athletic Club,0.21
,Giovani Lo Celso  •  Betis,0.21
,Kiké  •  Alavés,0.21
,Alexander Sørloth  •  Atlético Madrid,0.21
