Rank,Player,Value
1.0,Tanguy Nianzou  •  Sevilla,1
,José María Giménez  •  Atlético Madrid,1
,Diego Llorente  •  Betis,1
,Jailson Siqueira  •  Celta Vigo,1
,Alex Padilla  •  Athletic Club,1
,Álex Suárez  •  Las Palmas,1
,Antonio Sivera  •  Alavés,1
,Sergi  •  Leganés,1
,Ladislav Krejčí  •  Girona,1
,Moi Gómez  •  Osasuna,1
,César Tárrega  •  Valencia,1
,Vedat Muriqi  •  Mallorca,1
,Juan Soriano  •  Leganés,1
,Koke  •  Atlético Madrid,1
,Scott McKenna  •  Las Palmas,1
,Raúl Albiol  •  Villarreal,1
,David Torres  •  Valladolid,1
,Hugo Duro  •  Valencia,1
,Carlos Dominguez  •  Celta Vigo,1
,Thibaut Courtois  •  Real Madrid,1
,Aridane Hernández  •  Rayo Vallecano,1
