Rank,Player,Value
1.0,Mario Martín  •  Valladolid,3
2.0,Pape Gueye  •  Villarreal,2
,Vedat Muriqi  •  Mallorca,2
,Dario Essugo  •  Las Palmas,2
5.0,Antonio Sivera  •  Alavés,1
,Julen Agirrezabala  •  Athletic Club,1
,Antony  •  Betis,1
,Natan  •  Betis,1
,Domingos Duarte  •  Getafe,1
,Sheraldo Becker  •  Real Sociedad,1
,Toni Lato  •  Mallorca,1
,Mikel Oyarzabal  •  Real Sociedad,1
,Lucien Agoume  •  Sevilla,1
,Unai López  •  Rayo Vallecano,1
,Chrisantus Uche  •  Getafe,1
,Munir El Haddadi  •  Leganés,1
,Iago Aspas  •  Celta Vigo,1
,Samu Costa  •  Mallorca,1
,Ferrán Torres  •  Barcelona,1
,Romain Perraud  •  Betis,1
,Aleksandar Sedlar  •  Alavés,1
,Antonio Raillo  •  Mallorca,1
,Aitor Paredes  •  Athletic Club,1
,Jorge Sáenz  •  Leganés,1
,Saúl Ñíguez  •  Sevilla,1
,Fermin López  •  Barcelona,1
,Juanlu Sánchez  •  Sevilla,1
,Benito Ramírez  •  Las Palmas,1
,Kiké  •  Alavés,1
,Marcos Alonso  •  Celta Vigo,1
,Ilaix Moriba  •  Celta Vigo,1
,Aritz Elustondo  •  Real Sociedad,1
,Ferland Mendy  •  Real Madrid,1
,Marcos Llorente  •  Atlético Madrid,1
,Óscar Mingueza  •  Celta Vigo,1
,Omar Mascarell  •  Mallorca,1
,Marcão  •  Sevilla,1
,Óscar Rodríguez Arnaiz  •  Leganés,1
,Alfon  •  Celta Vigo,1
,Stanko Jurić  •  Valladolid,1
,Ezequiel Ávila  •  Betis,1
,José Luis García Vayá  •  Valencia,1
,Juanmi Latasa  •  Valladolid,1
,Marc Casado  •  Barcelona,1
,Mikel Jauregizar  •  Athletic Club,1
,Juan Berrocal  •  Getafe,1
,Jorge de Frutos  •  Rayo Vallecano,1
,Vinicius Júnior  •  Real Madrid,1
,Pablo Barrios  •  Atlético Madrid,1
,Scott McKenna  •  Las Palmas,1
,Antonio Blanco  •  Alavés,1
,Yangel Herrera  •  Girona,1
,Abdul Mumin  •  Rayo Vallecano,1
,Juan Soriano  •  Leganés,1
,Jude Bellingham  •  Real Madrid,1
,Tanguy Nianzou  •  Sevilla,1
,Igor Zubeldia  •  Real Sociedad,1
,Sergi  •  Leganés,1
,Juan Carlos  •  Girona,1
,Willy Kambwala  •  Villarreal,1
,Ángel Correa  •  Atlético Madrid,1
