Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
1,Barcelona,15,11,1,3,41,11,30,34,2.27,39.5,9.4,30.1,2.01,15,10,3,2,42,18,24,33,2.2,32.8,21.7,11.1
2,Real Madrid,15,12,1,2,37,16,21,37,2.47,37.9,14.8,23.1,1.54,15,7,5,3,26,15,11,26,1.73,21.5,17.0,4.5
3,Atlético Madrid,15,10,4,1,27,12,15,34,2.27,28.9,11.1,17.8,1.19,15,7,5,3,22,12,10,26,1.73,18.4,16.9,1.5
4,Athletic Club,15,8,6,1,27,9,18,30,2.0,25.0,11.7,13.3,0.89,15,6,6,3,19,15,4,24,1.6,18.9,16.0,2.9
5,Villarreal,14,5,6,3,29,21,8,21,1.5,27.5,17.7,9.8,0.7,15,8,3,4,22,18,4,27,1.8,23.3,14.3,9.0
6,Betis,15,8,5,2,24,16,8,29,1.93,27.6,13.8,13.8,0.92,15,5,4,6,17,21,-4,19,1.27,17.5,23.6,-6.1
7,Celta Vigo,15,9,3,3,25,15,10,30,2.0,20.8,14.2,6.6,0.44,15,3,4,8,19,28,-9,13,0.87,19.9,16.9,3.0
8,Real Sociedad,15,7,2,6,17,15,2,23,1.53,18.6,14.4,4.3,0.28,15,5,3,7,13,17,-4,18,1.2,14.6,18.8,-4.2
9,Rayo Vallecano,15,5,5,5,20,23,-3,20,1.33,20.8,15.2,5.6,0.37,15,5,5,5,13,12,1,20,1.33,14.8,22.1,-7.3
10,Mallorca,16,6,5,5,17,18,-1,23,1.44,17.7,17.9,-0.2,-0.01,14,5,2,7,12,19,-7,17,1.21,16.2,14.4,1.8
11,Getafe,15,4,7,4,13,11,2,19,1.27,15.8,14.1,1.7,0.11,15,6,2,7,17,14,3,20,1.33,13.0,21.9,-8.9
12,Sevilla,15,5,4,6,13,18,-5,19,1.27,16.1,17.2,-1.1,-0.07,15,4,5,6,21,23,-2,17,1.13,14.7,22.5,-7.8
13,Girona,15,6,3,6,25,22,3,21,1.4,23.1,17.4,5.7,0.38,15,3,4,8,12,24,-12,13,0.87,11.5,21.2,-9.6
14,Osasuna,15,6,6,3,26,22,4,24,1.6,21.3,18.7,2.6,0.18,14,1,7,6,7,20,-13,10,0.71,9.5,22.7,-13.2
15,Valencia,15,7,3,5,21,18,3,24,1.6,19.0,16.7,2.3,0.15,15,1,7,7,13,29,-16,10,0.67,14.0,27.6,-13.6
16,Espanyol,15,6,6,3,19,16,3,24,1.6,14.4,19.6,-5.2,-0.35,14,2,2,10,12,24,-12,8,0.57,10.6,25.5,-14.8
17,Alavés,14,4,4,6,11,15,-4,16,1.14,15.7,15.2,0.5,0.04,16,3,5,8,22,29,-7,14,0.88,19.0,22.7,-3.7
18,Leganés,14,5,2,7,15,22,-7,17,1.21,13.8,21.4,-7.7,-0.55,15,1,7,7,13,24,-11,10,0.67,11.9,26.6,-14.7
19,Las Palmas,15,3,5,7,18,24,-6,14,0.93,17.7,23.2,-5.5,-0.37,15,3,3,9,16,27,-11,12,0.8,11.7,31.9,-20.2
20,Valladolid,15,3,4,8,8,25,-17,13,0.87,13.7,21.5,-7.8,-0.52,15,1,0,14,11,44,-33,3,0.2,11.5,30.7,-19.3
