Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper
Alavés,3,30.0,44,11,2,4,1,41.4,0.29,-1.6,-0.05,287,683,42.0,705,72,69.4,46.4,245,79.2,56.7,416,28,6.7,23,0.77
Athletic Club,3,30.0,24,2,2,3,1,25.3,0.26,2.3,0.08,141,409,34.5,744,129,38.0,31.8,175,72.0,53.0,358,34,9.5,40,1.33
Atlético Madrid,2,30.0,24,4,0,2,2,19.3,0.18,-2.7,-0.09,98,250,39.2,521,141,27.6,31.7,271,39.1,35.9,414,21,5.1,21,0.7
Barcelona,3,30.0,29,3,0,2,0,27.1,0.3,-1.9,-0.06,50,148,33.8,953,149,12.2,24.7,157,20.4,27.5,293,12,4.1,125,4.17
Betis,3,30.0,37,4,0,5,1,35.4,0.32,-0.6,-0.02,91,311,29.3,836,138,28.9,31.5,167,41.3,37.1,403,24,6.0,41,1.37
Celta Vigo,2,30.0,43,1,0,8,2,36.8,0.32,-4.2,-0.14,54,185,29.2,633,170,18.6,27.3,214,31.3,32.2,392,23,5.9,43,1.43
Espanyol,1,29.0,40,4,2,6,0,44.5,0.28,4.5,0.15,142,404,35.1,668,150,43.3,35.3,260,44.2,36.1,510,45,8.8,29,1.0
Getafe,1,30.0,25,6,0,2,0,29.6,0.29,4.6,0.15,231,616,37.5,560,54,70.9,47.3,254,86.2,58.7,382,19,5.0,26,0.87
Girona,2,30.0,46,2,1,3,1,39.9,0.3,-5.1,-0.17,73,247,29.6,859,119,22.4,29.4,194,28.4,30.9,355,32,9.0,28,0.93
Las Palmas,2,30.0,51,4,0,4,2,52.4,0.31,3.4,0.11,149,472,31.6,903,158,41.9,34.3,271,34.7,34.0,460,14,3.0,28,0.93
Leganés,2,29.0,46,7,1,6,2,47.6,0.31,3.6,0.12,181,679,26.7,674,94,64.1,47.3,280,88.2,64.4,570,41,7.2,36,1.24
Mallorca,2,30.0,37,3,0,3,1,32.8,0.28,-3.2,-0.11,193,482,40.0,748,116,49.5,36.4,271,41.3,35.8,483,16,3.3,18,0.6
Osasuna,2,29.0,42,4,1,3,1,44.7,0.3,3.7,0.13,230,504,45.6,768,102,45.7,38.0,228,67.1,48.2,397,30,7.6,68,2.34
Rayo Vallecano,2,30.0,35,3,0,5,1,34.3,0.24,0.3,0.01,159,501,31.7,799,112,46.4,38.2,256,50.8,42.3,422,27,6.4,22,0.73
Real Madrid,3,30.0,31,3,0,5,1,27.0,0.28,-3.0,-0.1,58,190,30.5,807,160,17.5,27.0,214,22.9,28.4,339,13,3.8,23,0.77
Real Sociedad,2,30.0,32,5,0,4,0,30.1,0.23,-1.9,-0.06,155,408,38.0,829,93,33.3,33.2,222,59.5,46.4,380,24,6.3,31,1.03
Sevilla,2,30.0,41,5,1,4,1,37.1,0.28,-2.9,-0.1,124,470,26.4,865,105,43.5,36.4,209,45.0,37.0,419,23,5.5,36,1.2
Valencia,2,30.0,47,4,0,3,2,41.4,0.31,-3.6,-0.12,127,423,30.0,703,118,41.3,40.5,223,59.6,45.4,399,20,5.0,48,1.6
Valladolid,3,30.0,69,3,2,5,1,56.0,0.35,-12.0,-0.4,161,442,36.4,856,140,35.5,37.2,288,47.9,40.8,469,35,7.5,36,1.2
Villarreal,2,29.0,39,4,2,6,1,32.3,0.26,-5.7,-0.2,92,250,36.8,638,148,29.5,28.5,210,29.5,29.4,421,26,6.2,30,1.03
