Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0
Alavés,29,30.0,556,349,276,220,60,267,549,48.6,282,302,72,230,252,808,699
Athletic Club,30,30.0,458,268,188,201,69,229,452,50.7,223,279,48,231,272,730,656
Atlético Madrid,24,30.0,489,296,243,185,61,262,522,50.2,260,282,83,199,209,698,651
Barcelona,27,30.0,415,261,143,189,83,214,401,53.4,187,274,52,222,178,593,476
Betis,35,30.0,527,326,221,224,82,284,527,53.9,243,325,87,238,296,823,730
Celta Vigo,30,30.0,441,274,201,177,63,224,446,50.2,222,276,74,202,228,669,641
Espanyol,26,29.0,493,299,288,168,37,228,457,49.9,229,323,117,206,251,744,852
Getafe,30,30.0,510,306,229,223,58,253,521,48.6,268,328,69,259,212,722,816
Girona,29,30.0,453,280,219,171,63,234,448,52.2,214,273,79,194,230,683,560
Las Palmas,30,30.0,495,297,257,192,46,262,508,51.6,246,354,117,237,247,742,754
Leganés,26,29.0,505,309,253,194,58,229,458,50.0,229,346,132,214,263,768,961
Mallorca,28,30.0,470,292,244,168,58,207,388,53.4,181,290,103,187,278,748,832
Osasuna,24,29.0,482,288,227,195,60,240,482,49.8,242,321,77,244,205,687,673
Rayo Vallecano,26,30.0,505,318,268,176,61,245,518,47.3,273,350,96,254,270,775,767
Real Madrid,27,30.0,464,284,234,162,68,211,388,54.4,177,274,82,192,275,739,485
Real Sociedad,31,30.0,521,331,244,201,76,254,471,53.9,217,346,106,240,221,742,724
Sevilla,34,30.0,495,299,244,185,66,239,432,55.3,193,286,69,217,283,778,714
Valencia,32,30.0,514,330,264,182,68,254,458,55.5,204,284,74,210,239,753,717
Valladolid,35,30.0,477,293,278,156,43,221,448,49.3,227,361,129,232,251,728,714
Villarreal,28,29.0,517,322,252,195,70,260,477,54.5,217,321,91,230,222,739,651
