Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Alavés,29,30.0,551,18.37,367,75,23,33,39,14,53,1.77,37,2,3,6,5
Athletic Club,30,30.0,706,23.53,532,52,46,36,21,19,80,2.67,55,7,6,7,5
Atlético Madrid,24,30.0,626,20.87,500,36,25,35,17,13,87,2.9,73,0,5,5,2
Barcelona,27,30.0,906,30.2,704,42,63,48,40,9,138,4.6,100,3,14,10,10
Betis,35,30.0,719,23.97,535,53,49,35,36,11,68,2.27,47,5,1,7,7
Celta Vigo,30,30.0,590,19.67,462,29,33,35,23,8,76,2.53,61,1,5,3,6
Espanyol,26,29.0,464,16.0,318,51,25,25,34,11,51,1.76,31,5,2,4,8
Getafe,30,30.0,582,19.4,380,76,38,29,47,12,49,1.63,28,6,1,8,4
Girona,29,30.0,579,19.3,449,46,28,27,20,9,65,2.17,47,5,2,7,3
Las Palmas,30,30.0,584,19.47,436,48,32,26,35,7,57,1.9,45,2,2,4,3
Leganés,26,29.0,405,13.97,264,41,31,22,32,15,53,1.83,35,3,5,3,5
Mallorca,28,30.0,570,19.0,390,78,27,43,27,5,49,1.63,35,7,0,2,4
Osasuna,24,29.0,512,17.66,368,58,26,27,29,4,54,1.86,31,2,4,6,10
Rayo Vallecano,26,30.0,681,22.7,501,64,36,42,31,7,49,1.63,35,3,6,4,0
Real Madrid,27,30.0,891,29.7,654,64,72,55,34,12,109,3.63,76,7,9,9,7
Real Sociedad,31,30.0,542,18.07,405,52,27,26,23,9,53,1.77,40,3,5,1,4
Sevilla,34,30.0,626,20.87,444,57,48,42,25,10,57,1.9,48,3,3,3,0
Valencia,32,30.0,539,17.97,394,54,23,29,24,15,56,1.87,39,3,2,7,3
Valladolid,35,30.0,474,15.8,326,57,38,16,30,7,33,1.1,25,0,4,1,3
Villarreal,28,29.0,762,26.28,579,61,30,47,31,14,86,2.97,67,4,2,6,6
