Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Alavés,3,30,30,2699,30.0,44,1.47,113,70,70.8,7,9,14,5,16.7,11,11,0,0
Athletic Club,3,30,30,2697,30.0,24,0.8,90,66,75.6,14,12,4,10,33.3,3,2,1,0
Atlético Madrid,2,30,30,2700,30.0,24,0.8,92,70,78.3,17,9,4,13,43.3,4,4,0,0
Barcelona,3,30,30,2700,30.0,29,0.97,85,56,69.4,21,4,5,9,30.0,3,3,0,0
Betis,3,30,30,2700,30.0,37,1.23,101,65,67.3,13,9,8,7,23.3,4,4,0,0
Celta Vigo,2,30,30,2700,30.0,43,1.43,112,70,62.5,12,7,11,6,20.0,2,1,1,0
Espanyol,1,29,29,2610,29.0,40,1.38,144,102,75.0,8,8,13,5,17.2,6,4,2,0
Getafe,1,30,30,2700,30.0,25,0.83,87,61,78.2,10,9,11,9,30.0,7,6,1,0
Girona,2,30,30,2700,30.0,46,1.53,120,72,63.3,9,7,14,6,20.0,5,2,3,0
Las Palmas,2,30,30,2700,30.0,51,1.7,150,97,68.7,6,8,16,3,10.0,9,4,4,1
Leganés,2,29,29,2610,29.0,46,1.59,138,94,71.7,6,9,14,8,27.6,8,7,0,1
Mallorca,2,30,30,2700,30.0,37,1.23,111,75,69.4,11,7,12,6,20.0,3,3,0,0
Osasuna,2,29,29,2610,29.0,42,1.45,138,97,72.5,7,13,9,6,20.7,4,4,0,0
Rayo Vallecano,2,30,30,2700,30.0,35,1.17,126,90,74.6,10,10,10,7,23.3,5,3,2,0
Real Madrid,3,30,30,2700,30.0,31,1.03,94,64,70.2,19,6,5,10,33.3,3,3,0,0
Real Sociedad,2,30,30,2700,30.0,32,1.07,110,77,75.5,12,5,13,12,40.0,6,5,1,0
Sevilla,2,30,30,2700,30.0,41,1.37,114,73,68.4,9,9,12,9,30.0,6,5,1,0
Valencia,2,30,30,2700,30.0,47,1.57,117,70,63.2,8,10,12,6,20.0,7,4,2,1
Valladolid,3,30,30,2700,30.0,69,2.3,158,90,58.2,4,4,22,5,16.7,3,3,0,0
Villarreal,2,29,29,2610,29.0,39,1.34,116,78,69.8,13,9,7,4,13.8,5,4,0,1
