Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels
Alavés,29,30.0,85,4,2,489,384,65,641,252,349,5,11,1,1179,515,538
Athletic Club,30,30.0,52,3,1,369,308,47,649,272,268,4,3,1,1366,377,402
Atlético Madrid,24,30.0,69,3,0,326,330,56,521,209,296,2,4,2,1251,362,351
Barcelona,27,30.0,51,3,1,278,371,56,542,178,261,6,3,0,1293,300,278
Betis,35,30.0,64,4,0,358,435,46,487,296,326,8,4,1,1314,376,401
Celta Vigo,30,30.0,70,5,3,366,341,57,391,228,274,5,2,2,1244,320,355
Espanyol,26,29.0,73,0,0,399,325,41,453,251,299,4,6,0,1048,364,387
Getafe,30,30.0,92,3,3,493,415,72,582,212,306,3,7,0,1133,633,599
Girona,29,30.0,65,2,0,326,349,61,641,230,280,4,5,1,1154,244,266
Las Palmas,30,30.0,89,4,2,354,365,51,511,247,297,1,9,2,1144,403,419
Leganés,26,29.0,62,5,0,384,350,69,358,263,309,6,8,2,1173,378,469
Mallorca,28,30.0,66,6,1,357,352,65,598,278,292,4,3,1,1209,528,485
Osasuna,24,29.0,71,0,0,387,275,54,615,205,288,7,4,1,1164,493,399
Rayo Vallecano,26,30.0,76,3,0,427,302,59,615,270,318,0,5,1,1363,368,415
Real Madrid,27,30.0,45,3,0,266,415,71,433,275,284,10,3,1,1215,255,204
Real Sociedad,31,30.0,70,4,0,396,340,67,573,221,331,2,6,0,1270,458,512
Sevilla,34,30.0,79,5,3,377,321,55,457,283,299,1,6,1,1251,424,354
Valencia,32,30.0,67,1,0,357,336,59,637,239,330,2,7,2,1215,371,448
Valladolid,35,30.0,84,5,2,375,369,54,523,251,293,2,3,1,1074,450,413
Villarreal,28,29.0,75,3,1,346,353,63,543,222,322,6,5,1,1217,389,314
