Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes
Alavés,29,30.0,11534,9936,1533,433,32,84,641,643,138,50,61,6,8223,65
Athletic Club,30,30.0,14024,12537,1440,383,36,96,649,668,160,62,63,1,11084,47
Atlético Madrid,24,30.0,16758,15236,1466,361,52,98,521,634,147,47,53,0,13850,56
Barcelona,27,30.0,19945,18397,1492,508,103,114,542,566,202,73,40,0,17233,56
Betis,35,30.0,14857,13282,1529,500,41,111,487,643,152,64,50,0,12013,46
Celta Vigo,30,30.0,17078,15605,1416,391,67,112,391,634,104,32,44,0,14300,57
Espanyol,26,29.0,10436,9108,1287,368,30,72,453,490,100,24,55,0,7817,41
Getafe,30,30.0,10453,8739,1642,477,17,97,582,741,115,44,53,1,7082,72
Girona,29,30.0,17142,15690,1391,387,30,113,641,582,152,66,62,1,14650,61
Las Palmas,30,30.0,14354,12807,1496,445,41,79,511,583,117,40,54,2,11355,51
Leganés,26,29.0,11286,9913,1304,373,39,74,358,496,81,36,32,0,8450,69
Mallorca,28,30.0,12798,11290,1443,381,34,79,598,599,125,50,62,3,9946,65
Osasuna,24,29.0,12177,10684,1439,364,21,93,615,654,122,49,30,2,9133,54
Rayo Vallecano,26,30.0,14009,12459,1491,335,37,86,615,680,155,80,50,0,10887,59
Real Madrid,27,30.0,19439,17982,1386,439,63,183,433,502,171,69,56,1,17175,71
Real Sociedad,31,30.0,14715,13118,1530,410,28,123,573,675,161,54,72,0,11577,67
Sevilla,34,30.0,14528,13031,1442,379,30,99,457,632,151,91,23,0,11632,55
Valencia,32,30.0,13613,12046,1508,431,22,97,637,623,157,58,64,3,10607,59
Valladolid,35,30.0,12217,10711,1452,422,30,95,523,527,117,54,35,0,9537,54
Villarreal,28,29.0,13947,12563,1321,394,58,93,543,507,143,56,47,1,11345,63
