Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Alavés,29,30.0,8223,11534,71.3,157061,67149,3533,4285,82.5,3460,4323,80.0,1053,2251,46.8,18,20.7,20.4,-2.7,225,737,179,82
Athletic Club,30,30.0,11084,14024,79.0,205136,72939,4519,5202,86.9,5312,6125,86.7,1119,2171,51.5,36,30.2,28.0,5.8,298,1064,228,79
Atlético Madrid,24,30.0,13850,16758,82.6,231556,78757,6708,7458,89.9,5572,6381,87.3,1164,2006,58.0,38,35.3,33.2,2.7,260,957,269,71
Barcelona,27,30.0,17233,19945,86.4,291493,91386,7858,8572,91.7,7681,8454,90.9,1253,1927,65.0,59,55.4,52.4,3.6,386,1507,369,60
Betis,35,30.0,12013,14857,80.9,202781,70573,5710,6391,89.3,4918,5704,86.2,1011,1898,53.3,24,29.8,26.1,-5.8,317,847,241,62
Celta Vigo,30,30.0,14300,17078,83.7,248263,83056,6167,6851,90.0,6657,7412,89.8,1129,1942,58.1,30,29.5,29.6,0.5,256,1118,239,47
Espanyol,26,29.0,7817,10436,74.9,148184,60158,3134,3674,85.3,3551,4225,84.0,971,1995,48.7,21,17.3,16.7,3.7,189,586,151,63
Getafe,30,30.0,7082,10453,67.8,137512,60444,3017,3730,80.9,2908,3823,76.1,1001,2312,43.3,17,17.3,18.4,-0.3,230,787,185,87
Girona,29,30.0,14650,17142,85.5,255862,79872,6525,7070,92.3,6661,7346,90.7,1212,2033,59.6,27,25.0,31.5,2.0,242,1165,259,71
Las Palmas,30,30.0,11355,14354,79.1,199316,72954,5142,5820,88.4,4854,5674,85.5,1079,2131,50.6,23,21.5,21.0,1.5,242,842,201,68
Leganés,26,29.0,8450,11286,74.9,153343,58447,3734,4290,87.0,3572,4252,84.0,922,2131,43.3,21,16.1,15.2,4.9,163,569,134,33
Mallorca,28,30.0,9946,12798,77.7,184396,71719,4349,4946,87.9,4213,4992,84.4,1192,2237,53.3,19,23.1,23.5,-4.1,233,745,199,93
Osasuna,24,29.0,9133,12177,75.0,172427,70305,3806,4462,85.3,4000,4860,82.3,1118,2179,51.3,16,20.1,24.8,-4.1,210,727,196,91
Rayo Vallecano,26,30.0,10887,14009,77.7,193960,74756,4993,5672,88.0,4603,5380,85.6,1082,2279,47.5,24,28.9,24.4,-4.9,287,856,185,67
Real Madrid,27,30.0,17175,19439,88.4,288856,88842,8284,8870,93.4,7065,7633,92.6,1390,2074,67.0,44,42.0,41.6,2.0,385,1419,284,23
Real Sociedad,31,30.0,11577,14715,78.7,204252,71741,5296,5995,88.3,4844,5702,85.0,1151,2179,52.8,20,25.7,25.2,-5.7,227,867,200,52
Sevilla,34,30.0,11632,14528,80.1,202114,70020,5496,6087,90.3,4960,5702,87.0,953,2101,45.4,26,22.0,18.2,4.0,272,814,153,42
Valencia,32,30.0,10607,13613,77.9,189900,66430,4771,5367,88.9,4643,5419,85.7,1025,2112,48.5,23,24.2,26.7,-1.2,227,897,186,70
Valladolid,35,30.0,9537,12217,78.1,180896,67228,3834,4367,87.8,4413,5127,86.1,1116,2146,52.0,12,19.0,18.6,-7.0,201,602,136,74
Villarreal,28,29.0,11345,13947,81.3,205576,74627,4819,5408,89.1,5201,5965,87.2,1122,1959,57.3,32,37.2,37.1,-5.2,332,917,292,80
