Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG)
Alavés,29,27.2,30,2700,90,100,30.0,330,81,198,130,22,213,1.0,33,44,-11,-0.37,34.7,37.9,-3.2
Athletic Club,30,27.6,30,2700,90,100,30.0,330,79,177,150,23,198,1.8,46,24,22,0.73,43.9,27.7,16.3
Atlético Madrid,24,29.1,30,2700,90,100,30.0,330,78,181,147,27,189,2.0,49,24,25,0.83,47.3,28.0,19.3
Barcelona,27,25.4,30,2700,90,100,30.0,330,81,189,140,21,201,2.23,83,29,54,1.8,72.3,31.1,41.2
Betis,35,28.1,30,2700,90,100,30.0,330,81,188,140,21,183,1.6,41,37,4,0.13,45.1,37.4,7.7
Celta Vigo,30,27.7,30,2700,90,100,30.0,330,80,181,148,23,210,1.43,44,43,1,0.03,40.7,31.1,9.6
Espanyol,26,26.0,29,2610,90,100,29.0,319,81,183,137,21,206,1.1,31,40,-9,-0.31,25.1,45.1,-20.0
Getafe,30,28.4,30,2700,90,100,30.0,330,81,203,127,22,199,1.3,30,25,5,0.17,28.8,36.0,-7.2
Girona,29,28.0,30,2700,90,100,30.0,330,81,195,134,23,202,1.13,37,46,-9,-0.3,34.6,38.6,-4.0
Las Palmas,30,27.7,30,2700,90,100,30.0,330,80,178,149,21,192,0.87,34,51,-17,-0.57,29.5,55.1,-25.7
Leganés,26,28.7,29,2610,90,100,29.0,319,81,188,128,21,190,0.93,28,46,-18,-0.62,25.6,48.0,-22.4
Mallorca,28,29.4,30,2700,90,100,30.0,330,82,182,142,18,210,1.33,29,37,-8,-0.27,33.9,32.3,1.6
Osasuna,24,28.2,29,2610,90,100,29.0,319,82,182,139,18,197,1.17,33,42,-9,-0.31,30.8,41.4,-10.6
Rayo Vallecano,26,29.8,30,2700,90,100,30.0,330,79,177,150,23,201,1.33,33,35,-2,-0.07,35.6,37.3,-1.7
Real Madrid,27,27.6,30,2700,90,100,30.0,330,84,212,115,18,169,2.1,63,31,32,1.07,59.3,31.8,27.6
Real Sociedad,31,26.0,30,2700,90,100,30.0,330,78,183,143,25,212,1.37,30,32,-2,-0.07,33.2,33.1,0.1
Sevilla,34,26.8,30,2700,90,100,30.0,330,83,189,139,16,208,1.2,34,41,-7,-0.23,30.8,39.7,-8.9
Valencia,32,25.3,30,2700,90,100,30.0,330,82,189,140,19,207,1.13,34,47,-13,-0.43,32.9,44.3,-11.3
Valladolid,35,26.2,30,2700,90,100,30.0,330,80,190,137,24,208,0.53,19,69,-50,-1.67,25.2,52.2,-27.0
Villarreal,28,27.6,29,2610,90,100,29.0,319,81,184,134,21,138,1.66,51,39,12,0.41,50.8,32.0,18.8
