Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving
Alavés,29,45.3,30.0,14909,1499,4682,6639,3726,560,14901,388,151,38.9,194,50.0,7174,36682,18584,370,269,79,463,228,8128
Athletic Club,30,49.2,30.0,17424,1452,4839,8258,4489,636,17419,615,247,40.2,311,50.6,9072,48732,26505,559,359,156,457,317,10967
Atlético Madrid,24,51.8,30.0,19898,1849,6323,9036,4692,642,19893,507,217,42.8,245,48.3,11982,58767,31187,577,422,123,422,211,13753
Barcelona,27,67.3,30.0,23165,1522,5324,11626,6386,943,23159,733,366,49.9,299,40.8,13918,71469,38628,685,503,182,464,255,17134
Betis,35,51.5,30.0,18524,1752,5956,8252,4494,700,18515,570,248,43.5,273,47.9,10495,52754,27283,501,388,167,524,313,11897
Celta Vigo,30,54.1,30.0,20137,1748,6000,9954,4345,635,20130,489,194,39.7,250,51.1,11966,60391,31507,543,383,170,447,250,14222
Espanyol,26,38.5,29.0,13762,1944,5496,5783,2643,402,13758,396,160,40.4,195,49.2,6837,39473,20934,367,266,79,429,182,7751
Getafe,30,43.0,30.0,14180,1415,4114,6479,3760,520,14175,511,209,40.9,257,50.3,6324,32846,15842,301,254,77,610,294,7015
Girona,29,56.6,30.0,20116,2017,6400,9064,4803,658,20111,534,247,46.3,228,42.7,12208,68760,34885,596,427,146,431,261,14469
Las Palmas,30,50.1,30.0,17641,2124,6179,8145,3448,534,17638,426,186,43.7,208,48.8,8993,44568,22336,391,271,96,426,217,11257
Leganés,26,41.8,29.0,14761,1975,5697,6607,2611,324,14755,499,229,45.9,221,44.3,7380,35446,17422,299,258,67,433,221,8385
Mallorca,28,46.9,30.0,16217,1941,5522,7274,3592,526,16212,463,196,42.3,210,45.4,8521,45117,21102,392,327,70,448,304,9842
Osasuna,24,46.0,29.0,15258,1735,4866,6849,3700,555,15251,466,204,43.8,222,47.6,7842,40809,20150,433,335,98,413,219,9026
Rayo Vallecano,26,51.3,30.0,17539,2029,6164,7239,4311,552,17539,492,225,45.7,224,45.5,9296,46175,23143,467,348,119,477,272,10811
Real Madrid,27,60.9,30.0,22588,1958,6269,10252,6262,930,22576,700,330,47.1,304,43.4,14166,74509,40382,772,538,295,417,224,17067
Real Sociedad,31,54.1,30.0,18088,1830,5606,8467,4171,600,18086,507,224,44.2,241,47.5,9707,52670,26852,521,326,132,463,225,11442
Sevilla,34,51.5,30.0,18007,1910,6468,8049,3655,520,18005,589,274,46.5,263,44.7,8883,46973,23767,477,319,137,500,268,11505
Valencia,32,46.9,30.0,16888,1708,5424,7552,4075,514,16885,507,198,39.1,257,50.7,8548,45523,23888,455,324,103,416,273,10509
Valladolid,35,43.3,30.0,15433,2118,6527,6327,2731,408,15430,470,218,46.4,196,41.7,7713,43245,21658,377,245,97,414,213,9440
Villarreal,28,49.2,29.0,17214,1864,5849,7276,4239,748,17207,485,211,43.5,219,45.2,9321,49254,26896,535,403,144,445,222,11234
