Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected
Alavés,29,30.0,33,312,99,31.7,10.4,3.3,0.09,0.27,17.6,9,6,8,34.7,28.4,0.09,-1.7
Athletic Club,30,30.0,46,392,129,32.9,13.07,4.3,0.11,0.34,17.4,6,2,5,43.9,40.0,0.11,2.1
Atlético Madrid,24,30.0,49,353,123,34.8,11.77,4.1,0.13,0.37,17.0,10,4,5,47.3,43.6,0.13,1.7
Barcelona,27,30.0,81,506,189,37.4,16.87,6.3,0.15,0.4,17.0,21,5,6,72.3,67.5,0.14,8.7
Betis,35,30.0,39,396,128,32.3,13.2,4.27,0.08,0.26,18.1,11,6,9,45.1,38.1,0.1,-6.1
Celta Vigo,30,30.0,43,329,120,36.5,10.97,4.0,0.11,0.31,18.1,15,6,7,40.7,35.2,0.11,2.3
Espanyol,26,29.0,29,262,68,26.0,9.03,2.34,0.1,0.37,18.7,12,4,4,25.1,21.9,0.09,3.9
Getafe,30,30.0,30,341,96,28.2,11.37,3.2,0.07,0.26,19.7,13,5,5,28.8,24.9,0.07,1.2
Girona,29,30.0,36,316,103,32.6,10.53,3.43,0.1,0.31,17.5,9,4,5,34.6,30.8,0.1,1.4
Las Palmas,30,30.0,32,320,111,34.7,10.67,3.7,0.09,0.27,19.1,18,2,3,29.5,27.1,0.09,2.5
Leganés,26,29.0,28,233,77,33.0,8.03,2.66,0.1,0.31,20.0,11,4,6,25.6,20.9,0.09,2.4
Mallorca,28,30.0,28,319,93,29.2,10.63,3.1,0.08,0.26,16.2,6,4,5,33.9,30.0,0.1,-5.9
Osasuna,24,29.0,31,294,85,28.9,10.14,2.93,0.08,0.28,16.9,6,7,7,30.8,26.0,0.09,0.2
Rayo Vallecano,26,30.0,31,398,122,30.7,13.27,4.07,0.08,0.25,19.1,19,0,0,35.6,35.6,0.09,-4.6
Real Madrid,27,30.0,63,479,178,37.2,15.97,5.93,0.11,0.3,18.0,13,9,12,59.3,50.3,0.11,3.7
Real Sociedad,31,30.0,29,305,100,32.8,10.17,3.33,0.09,0.27,18.0,10,2,2,33.2,31.6,0.1,-4.2
Sevilla,34,30.0,31,362,112,30.9,12.07,3.73,0.08,0.27,19.1,10,1,2,30.8,29.2,0.08,0.2
Valencia,32,30.0,34,305,84,27.5,10.17,2.8,0.1,0.37,17.4,5,3,3,32.9,30.5,0.1,1.1
Valladolid,35,30.0,19,260,68,26.2,8.67,2.27,0.06,0.24,18.1,9,3,3,25.2,22.9,0.09,-6.2
Villarreal,28,29.0,49,419,131,31.3,14.45,4.52,0.11,0.34,16.2,9,5,7,50.8,45.1,0.11,-1.8
