Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Alavés,29,27.2,45.3,30,330,2700,30.0,33,18,51,27,6,8,85,4,34.7,28.4,20.7,49.0,370,906,1.1,0.6,1.7,0.9,1.5,1.16,0.69,1.84,0.95
Athletic Club,30,27.6,49.2,30,330,2700,30.0,46,36,82,44,2,5,52,3,43.9,40.0,30.2,70.1,559,1306,1.53,1.2,2.73,1.47,2.67,1.46,1.01,2.47,1.33
Atlético Madrid,24,29.1,51.8,30,330,2700,30.0,49,38,87,45,4,5,69,3,47.3,43.6,35.3,78.9,577,1205,1.63,1.27,2.9,1.5,2.77,1.58,1.18,2.75,1.45
Barcelona,27,25.4,67.3,30,330,2700,30.0,81,59,140,76,5,6,51,3,72.3,67.5,55.4,122.9,685,1715,2.7,1.97,4.67,2.53,4.5,2.41,1.85,4.26,2.25
Betis,35,28.1,51.5,30,330,2700,30.0,39,24,63,33,6,9,64,4,45.1,38.1,29.8,67.9,501,1128,1.3,0.8,2.1,1.1,1.9,1.5,0.99,2.5,1.27
Celta Vigo,30,27.7,54.1,30,330,2700,30.0,43,30,73,37,6,7,70,5,40.7,35.2,29.5,64.7,543,1315,1.43,1.0,2.43,1.23,2.23,1.36,0.98,2.34,1.17
Espanyol,26,26.0,38.5,29,319,2610,29.0,29,21,50,25,4,4,73,0,25.1,21.9,17.3,39.2,367,739,1.0,0.72,1.72,0.86,1.59,0.86,0.6,1.46,0.76
Getafe,30,28.4,43.0,30,330,2700,30.0,30,17,47,25,5,5,92,3,28.8,24.9,17.3,42.2,301,812,1.0,0.57,1.57,0.83,1.4,0.96,0.58,1.54,0.83
Girona,29,28.0,56.6,30,330,2700,30.0,36,27,63,32,4,5,65,2,34.6,30.8,25.0,55.8,596,1352,1.2,0.9,2.1,1.07,1.97,1.15,0.83,1.99,1.03
Las Palmas,30,27.7,50.1,30,330,2700,30.0,32,23,55,30,2,3,89,4,29.5,27.1,21.5,48.6,391,953,1.07,0.77,1.83,1.0,1.77,0.98,0.72,1.7,0.9
Leganés,26,28.7,41.8,29,319,2610,29.0,28,21,49,24,4,6,62,5,25.6,20.9,16.1,37.0,299,745,0.97,0.72,1.69,0.83,1.55,0.88,0.56,1.44,0.72
Mallorca,28,29.4,46.9,30,330,2700,30.0,28,19,47,24,4,5,66,6,33.9,30.0,23.1,53.2,392,948,0.93,0.63,1.57,0.8,1.43,1.13,0.77,1.9,1.0
Osasuna,24,28.2,46.0,29,319,2610,29.0,31,16,47,24,7,7,71,0,30.8,26.0,20.1,46.1,433,938,1.07,0.55,1.62,0.83,1.38,1.06,0.69,1.76,0.9
Rayo Vallecano,26,29.8,51.3,30,330,2700,30.0,31,24,55,31,0,0,76,3,35.6,35.6,28.9,64.5,467,1081,1.03,0.8,1.83,1.03,1.83,1.19,0.96,2.15,1.19
Real Madrid,27,27.6,60.9,30,330,2700,30.0,63,44,107,54,9,12,45,3,59.3,50.3,42.0,92.3,772,1585,2.1,1.47,3.57,1.8,3.27,1.98,1.4,3.38,1.68
Real Sociedad,31,26.0,54.1,30,330,2700,30.0,29,20,49,27,2,2,70,4,33.2,31.6,25.7,57.4,521,1081,0.97,0.67,1.63,0.9,1.57,1.11,0.86,1.96,1.05
Sevilla,34,26.8,51.5,30,330,2700,30.0,31,26,57,30,1,2,79,5,30.8,29.2,22.0,51.2,477,902,1.03,0.87,1.9,1.0,1.87,1.03,0.73,1.76,0.97
Valencia,32,25.3,46.9,30,330,2700,30.0,34,23,57,31,3,3,67,1,32.9,30.5,24.2,54.7,455,1047,1.13,0.77,1.9,1.03,1.8,1.1,0.81,1.9,1.02
Valladolid,35,26.2,43.3,30,330,2700,30.0,19,12,31,16,3,3,84,5,25.2,22.9,19.0,41.9,377,774,0.63,0.4,1.03,0.53,0.93,0.84,0.63,1.47,0.76
Villarreal,28,27.6,49.2,29,319,2610,29.0,49,32,81,44,5,7,75,3,50.8,45.1,37.2,82.3,535,1206,1.69,1.1,2.79,1.52,2.62,1.75,1.28,3.03,1.56
