Rank,Player,Value
1.0,Sinaly Diomande  •  Auxerre,0.75
2.0,Mika Biereth  •  Monaco,0.65
3.0,Andrey Santos  •  Strasbourg,0.64
4.0,Luis Henrique  •  Marseille,0.58
5.0,Bafodé Diakité  •  Lille,0.57
,André Ayew  •  Le Havre,0.57
7.0,Sofiane Diop  •  Nice,0.55
8.0,Rayan Cherki  •  Lyon,0.54
9.0,Ludovic Ajorque  •  Brest,0.53
10.0,Mohamed Lamine Bayo  •  Lille,0.5
,Neil El Aynaoui  •  Lens,0.5
,Folarin Balogun  •  Monaco,0.5
,Thilo Kehrer  •  Monaco,0.5
,Himad Abdelli  •  Angers,0.5
,Bahereba Guirassy  •  Nantes,0.5
,Ibrahim Sissoko  •  Saint-Étienne,0.5
,Lucas Stassin  •  Saint-Étienne,0.5
,Lorenz Assignon  •  Rennes,0.5
,Sebastian Nanasi  •  Strasbourg,0.5
