Rank,Player,Value
1.0,Sinaly Diomande  •  Auxerre,1
,Pol Lirola  •  Marseille,1
,Khalil Fayad  •  Montpellier,1
,Elisha Owusu  •  Auxerre,1
,Jean-Charles Castelletto  •  Nantes,1
,Moïse Bombito  •  Nice,1
,Becir Omeragic  •  Montpellier,1
,Christopher Wooh  •  Rennes,1
,Mickael Nade  •  Saint-Étienne,1
,Leonardo Balerdi  •  Marseille,1
,Nicolas Pallois  •  Nantes,1
,Ismaël Doukouré  •  Strasbourg,1
,Baptiste Santamaria  •  2 squads,1
,Julien Le Cardinal  •  Brest,1
,Charlie Cresswell  •  Toulouse,1
,Rasmus Nicolaisen  •  Toulouse,1
,Fabien Centonze  •  Nantes,1
,Gabriel Suazo  •  Toulouse,1
,Dylan Batubinsika  •  Saint-Étienne,1
,Abakar Sylla  •  Strasbourg,1
,Etienne Youte Kinkoue  •  Le Havre,1
