Rank,Player,Value
1.0,Deiver Machado  •  Lens,2
,Lilian Raolisoa  •  Angers,2
,Derek Cornelius  •  Marseille,2
,Massadio Haïdara  •  2 squads,2
,Melvin Bard  •  Nice,2
,Tanguy Coulibaly  •  Montpellier,2
7.0,Christopher Wooh  •  Rennes,1
,Pol Lirola  •  Marseille,1
,Jordan Teze  •  Monaco,1
,Nicolas Cozza  •  Nantes,1
,Christopher Operi  •  Le Havre,1
,Ki-Jana Hoever  •  Auxerre,1
,Cédric Kipré  •  Reims,1
,Ado Onaiwu  •  Auxerre,1
,M'Bala Nzola  •  Lens,1
,Mitchel Bakker  •  Lille,1
,Mory Gbane  •  Reims,1
,Hafiz Ibrahim  •  Reims,1
,Mikayil Ngor Faye  •  Rennes,1
,Téji Savanier  •  Montpellier,1
,Moïse Bombito  •  Nice,1
,Gabriel Osho  •  Auxerre,1
,Abdukodir Khusanov  •  Lens,1
,Jean-Charles Castelletto  •  Nantes,1
,Dante  •  Nice,1
,Amine Harit  •  Marseille,1
,Junior Mwanga  •  2 squads,1
,Vanderson  •  Monaco,1
,Jordan Ferri  •  Montpellier,1
,Bamo Meïté  •  2 squads,1
,Anass Zaroury  •  Lens,1
,Etienne Youte Kinkoue  •  Le Havre,1
,Diego Moreira  •  Strasbourg,1
,Arouna Sangante  •  Le Havre,1
,Lamine Camara  •  Monaco,1
,Pablo Rosario  •  Nice,1
,Abakar Sylla  •  Strasbourg,1
,Mathieu Cafaro  •  Saint-Étienne,1
,Amadou Koné  •  Reims,1
,Marcus Coco  •  Nantes,1
,Leonardo Balerdi  •  Marseille,1
,Dylan Batubinsika  •  Saint-Étienne,1
,Stefan Džodić  •  Montpellier,1
,Frank Magri  •  Toulouse,1
,Neal Maupay  •  Marseille,1
,Eloge Zabi  •  Reims,1
,Boubakar Kouyaté  •  Montpellier,1
,David Costa  •  Lens,1
,Paul Joly  •  Auxerre,1
,Joseph Okumu  •  Reims,1
,Facundo Medina  •  Lens,1
