Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
1,Paris S-G,14,12,2,0,39,11,28,38,2.71,39.0,14.0,25.0,1.78,14,11,3,0,41,15,26,36,2.57,35.7,13.2,22.4
2,Marseille,14,7,4,3,28,19,9,25,1.79,29.9,18.1,11.8,0.85,14,9,0,5,29,19,10,27,1.93,20.4,20.4,0.0
3,Monaco,14,10,2,2,33,16,17,32,2.29,35.7,13.7,22.0,1.57,14,5,3,6,21,19,2,18,1.29,27.0,16.5,10.5
4,Strasbourg,13,8,4,1,24,13,11,28,2.15,18.7,18.3,0.5,0.04,15,6,3,6,22,22,0,21,1.4,23.3,28.2,-4.9
5,Lyon,14,9,2,3,30,18,12,29,2.07,29.1,20.3,8.7,0.62,14,5,4,5,24,20,4,19,1.36,20.4,19.9,0.5
6,Nice,14,8,4,2,29,14,15,28,2.0,26.2,12.8,13.4,0.96,14,5,4,5,23,21,2,19,1.36,22.4,19.3,3.1
7,Lille,14,9,3,2,25,15,10,30,2.14,22.9,20.5,2.3,0.17,14,4,5,5,17,15,2,17,1.21,23.5,17.4,6.1
8,Brest,14,8,3,3,27,18,9,27,1.93,21.4,20.4,1.1,0.08,14,5,1,8,17,25,-8,16,1.14,17.1,25.9,-8.8
9,Lens,14,6,2,6,15,16,-1,20,1.43,22.8,17.2,5.6,0.4,14,6,4,4,17,14,3,22,1.57,19.2,20.3,-1.2
10,Auxerre,14,7,5,2,21,11,10,26,1.86,20.7,17.9,2.8,0.2,14,3,3,8,18,28,-10,12,0.86,15.4,29.1,-13.7
11,Toulouse,14,4,4,6,16,18,-2,16,1.14,18.6,15.7,2.9,0.21,14,5,3,6,21,18,3,18,1.29,23.0,15.3,7.7
12,Rennes,15,7,1,7,21,16,5,22,1.47,20.4,17.4,3.0,0.2,13,3,1,9,17,22,-5,10,0.77,17.5,19.8,-2.3
13,Nantes,13,4,4,5,15,16,-1,16,1.23,17.6,17.1,0.5,0.04,15,3,5,7,18,31,-13,14,0.93,15.6,31.4,-15.8
14,Angers,14,3,2,9,14,30,-16,11,0.79,14.7,27.2,-12.5,-0.89,14,4,4,6,12,16,-4,16,1.14,16.5,20.4,-3.9
15,Le Havre,14,3,1,10,12,32,-20,10,0.71,18.5,26.7,-8.3,-0.59,14,5,2,7,19,25,-6,17,1.21,16.4,23.1,-6.7
16,Reims,15,3,4,8,16,23,-7,13,0.87,16.9,23.7,-6.8,-0.46,13,3,4,6,13,19,-6,13,1.0,14.6,24.7,-10.1
17,Saint-Étienne,13,5,2,6,16,23,-7,17,1.31,17.2,23.6,-6.3,-0.49,14,0,3,11,12,41,-29,3,0.21,12.2,38.7,-26.5
18,Montpellier,14,3,3,8,16,37,-21,12,0.86,20.1,25.6,-5.5,-0.39,13,1,0,12,5,27,-22,3,0.23,10.2,26.8,-16.6
