Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper
Angers,1,28.0,46,3,0,7,0,57.1,0.34,11.1,0.4,124,363,34.2,622,156,38.6,35.6,224,54.9,43.0,450,43,9.6,17,0.61
Auxerre,2,28.0,39,5,0,6,2,43.5,0.29,6.5,0.23,189,590,32.0,790,138,56.5,43.1,196,73.5,52.9,461,26,5.6,41,1.46
Brest,2,28.0,43,6,1,2,1,37.3,0.29,-4.7,-0.17,191,461,41.4,760,110,43.8,36.6,202,63.4,47.7,414,28,6.8,36,1.29
Le Havre,2,28.0,57,5,1,7,1,58.4,0.39,2.4,0.09,106,269,39.4,673,126,31.1,32.4,195,30.8,29.6,464,27,5.8,13,0.46
Lens,3,28.0,30,8,2,4,0,40.1,0.29,10.1,0.36,124,291,42.6,720,125,32.2,33.3,161,36.6,31.4,308,36,11.7,32,1.14
Lille,1,28.0,30,4,0,4,0,36.3,0.33,6.3,0.23,97,244,39.8,712,111,30.1,30.1,166,18.1,24.8,294,17,5.8,18,0.64
Lyon,1,28.0,38,3,1,5,0,43.8,0.3,5.8,0.21,92,286,32.2,726,162,31.8,31.0,177,31.1,31.0,367,24,6.5,26,0.93
Marseille,1,28.0,38,2,1,3,2,38.9,0.32,2.9,0.1,69,172,40.1,860,110,15.8,24.3,144,25.0,24.8,256,21,8.2,49,1.75
Monaco,2,28.0,35,3,1,2,0,30.8,0.27,-4.2,-0.15,59,211,28.0,603,130,24.9,30.5,182,33.5,32.6,309,24,7.8,34,1.21
Montpellier,2,27.5,62,5,0,3,2,54.0,0.32,-6.0,-0.22,180,449,40.1,724,109,46.7,36.8,226,49.1,38.4,385,24,6.2,26,0.96
Nantes,3,28.0,47,7,0,3,3,46.2,0.31,2.2,0.08,130,409,31.8,683,115,42.0,38.2,197,61.9,42.9,506,27,5.3,13,0.46
Nice,1,28.0,35,2,0,4,1,37.1,0.27,3.1,0.11,92,231,39.8,744,144,24.2,28.4,192,26.6,25.9,384,29,7.6,25,0.89
Paris S-G,2,28.0,26,3,1,5,0,26.0,0.28,0.0,0.0,58,159,36.5,691,125,17.8,25.3,134,26.9,26.6,242,14,5.8,25,0.89
Reims,1,28.0,42,3,1,7,0,53.1,0.35,11.1,0.4,127,397,32.0,762,123,37.1,33.5,240,47.5,36.8,435,25,5.7,25,0.89
Rennes,3,28.0,38,2,0,6,2,34.8,0.3,-1.2,-0.04,101,309,32.7,780,118,30.9,32.8,181,37.6,32.8,328,18,5.5,28,1.0
Saint-Étienne,1,27.5,64,13,0,4,2,58.8,0.27,-3.2,-0.11,112,421,26.6,773,121,42.7,35.3,213,42.7,33.8,416,21,5.0,22,0.81
Strasbourg,2,28.0,35,6,0,2,2,43.1,0.27,10.1,0.36,107,320,33.4,1183,120,22.7,23.9,199,25.6,25.7,454,30,6.6,41,1.46
Toulouse,3,28.0,36,1,0,4,3,28.5,0.32,-4.5,-0.16,73,268,27.2,570,75,32.5,34.1,189,43.9,34.8,351,9,2.6,26,0.93
