Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0
Angers,25,28.0,518,331,285,164,69,242,494,49.0,252,308,98,210,286,804,741
Auxerre,29,28.0,580,352,291,206,83,279,529,52.7,250,341,111,230,286,866,787
Brest,29,28.0,539,350,234,214,91,250,468,53.4,218,295,87,208,253,792,730
Le Havre,31,28.0,518,321,279,177,62,263,463,56.8,200,309,116,193,256,774,842
Lens,33,28.0,513,317,226,200,87,258,488,52.9,230,326,86,240,275,788,561
Lille,27,28.0,523,293,203,228,92,263,466,56.4,203,246,65,181,227,750,492
Lyon,28,28.0,484,290,217,191,76,257,502,51.2,245,296,94,202,236,720,581
Marseille,32,28.0,457,290,199,188,70,225,399,56.4,174,226,58,168,229,686,427
Monaco,28,28.0,568,358,239,245,84,291,533,54.6,242,283,58,225,298,866,537
Montpellier,35,27.5,494,291,242,201,51,246,494,49.8,248,296,103,193,211,705,603
Nantes,30,28.0,538,307,274,192,72,264,472,55.9,208,340,97,243,233,771,851
Nice,31,28.0,546,341,255,214,77,260,459,56.6,199,352,98,254,303,849,666
Paris S-G,25,28.0,524,322,209,230,85,273,507,53.8,234,301,89,212,228,752,412
Reims,34,28.0,475,307,270,141,64,248,472,52.5,224,308,104,204,246,721,711
Rennes,35,28.0,508,305,236,199,73,253,438,57.8,185,300,85,215,304,812,610
Saint-Étienne,32,27.5,479,307,240,181,58,245,490,50.0,245,327,107,220,276,755,697
Strasbourg,30,28.0,445,272,213,178,54,215,384,56.0,169,302,88,214,231,676,761
Toulouse,27,28.0,521,306,228,217,76,277,515,53.8,238,294,83,211,238,759,636
