Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Angers,25,28.0,453,16.18,326,34,20,28,26,19,45,1.61,28,2,2,4,7
Auxerre,29,28.0,590,21.07,434,53,25,36,23,19,71,2.54,43,9,4,7,8
Brest,29,28.0,607,21.68,419,65,22,39,44,18,72,2.57,45,3,4,12,6
Le Havre,31,28.0,486,17.36,313,51,27,40,44,11,48,1.71,26,3,4,8,6
Lens,33,28.0,673,24.04,501,57,36,49,20,10,48,1.71,34,1,5,5,2
Lille,27,28.0,641,22.89,491,51,27,39,26,7,67,2.39,41,3,3,12,6
Lyon,28,28.0,639,22.82,507,40,28,40,20,4,92,3.29,70,2,7,9,4
Marseille,32,28.0,722,25.79,538,58,42,54,20,10,100,3.57,76,3,5,8,6
Monaco,28,28.0,739,26.39,563,53,33,50,23,17,92,3.29,69,6,4,9,2
Montpellier,35,27.5,534,19.42,375,51,26,29,39,14,35,1.27,20,4,4,3,4
Nantes,30,28.0,518,18.5,370,47,42,31,18,10,56,2.0,41,1,7,5,2
Nice,31,28.0,700,25.0,503,53,44,47,35,18,80,2.86,57,6,4,6,6
Paris S-G,25,28.0,951,33.96,762,46,55,48,21,19,136,4.86,108,2,9,10,5
Reims,34,28.0,572,20.43,422,46,31,38,23,12,49,1.75,36,3,3,7,0
Rennes,35,28.0,629,22.46,459,63,32,40,24,11,63,2.25,40,5,5,7,5
Saint-Étienne,32,27.5,486,17.67,360,31,37,30,18,10,48,1.75,34,2,5,3,4
Strasbourg,30,28.0,506,18.07,365,43,33,28,21,16,78,2.79,58,5,3,6,4
Toulouse,27,28.0,584,20.86,390,75,31,36,38,14,65,2.32,44,6,4,4,6
