Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Angers,1,28,28,2520,28.0,46,1.64,165,119,73.9,7,6,15,5,17.9,4,3,0,1
Auxerre,2,28,28,2520,28.0,39,1.39,136,98,75.0,10,8,10,9,32.1,6,5,1,0
Brest,2,28,28,2520,28.0,43,1.54,111,68,66.7,13,4,11,8,28.6,8,6,1,1
Le Havre,2,28,28,2520,28.0,57,2.04,141,84,63.1,8,3,17,4,14.3,6,5,1,0
Lens,3,28,28,2520,28.0,30,1.07,113,82,80.5,12,6,10,12,42.9,9,8,1,0
Lille,1,28,28,2520,28.0,30,1.07,104,74,75.0,13,8,7,10,35.7,4,4,0,0
Lyon,1,28,28,2520,28.0,38,1.36,143,105,75.5,14,6,8,9,32.1,3,3,0,0
Marseille,1,28,28,2520,28.0,38,1.36,113,74,68.1,16,4,8,5,17.9,5,2,3,0
Monaco,2,28,28,2520,28.0,35,1.25,109,74,70.6,15,5,8,8,28.6,3,3,0,0
Montpellier,2,27,27,2430,27.5,62,2.3,156,95,63.5,4,3,20,0,0.0,6,5,1,0
Nantes,3,28,28,2520,28.0,47,1.68,131,87,69.5,7,9,12,4,14.3,7,7,0,0
Nice,1,28,28,2520,28.0,35,1.25,133,98,75.2,13,8,7,6,21.4,3,2,1,0
Paris S-G,2,28,28,2520,28.0,26,0.93,89,63,74.2,23,5,0,7,25.0,3,3,0,0
Reims,1,28,28,2520,28.0,42,1.5,147,104,73.5,6,8,14,4,14.3,4,3,1,0
Rennes,3,28,28,2520,28.0,38,1.36,108,70,66.7,10,2,16,10,35.7,4,2,2,0
Saint-Étienne,1,27,27,2430,27.5,64,2.37,175,111,70.9,5,5,17,3,11.1,15,13,2,0
Strasbourg,2,28,28,2520,28.0,35,1.25,142,108,79.6,14,7,7,9,32.1,7,6,1,0
Toulouse,3,28,28,2520,28.0,36,1.29,86,52,59.3,9,7,12,9,32.1,2,1,1,0
