Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels
Angers,25,28.0,39,2,0,308,339,59,463,286,331,6,4,0,1172,282,350
Auxerre,29,28.0,52,4,1,332,303,44,462,286,352,4,6,2,1255,361,366
Brest,29,28.0,54,2,1,353,326,38,537,253,350,5,8,1,1227,453,434
Le Havre,31,28.0,50,4,1,311,334,44,567,256,321,5,6,1,1139,380,356
Lens,33,28.0,72,7,3,429,299,78,577,275,317,2,9,0,1313,390,333
Lille,27,28.0,66,1,0,347,314,37,447,227,293,7,4,0,1261,321,286
Lyon,28,28.0,48,0,0,337,294,51,479,236,290,4,3,0,1182,260,279
Marseille,32,28.0,53,6,4,323,308,45,506,229,290,4,5,2,1228,269,212
Monaco,28,28.0,52,3,2,388,362,60,464,298,358,2,3,0,1457,361,361
Montpellier,35,27.5,75,7,2,341,359,56,550,211,291,3,6,2,1111,340,388
Nantes,30,28.0,56,3,0,340,308,26,502,233,307,2,7,3,1093,341,377
Nice,31,28.0,52,5,2,322,360,44,488,303,341,4,3,1,1327,352,342
Paris S-G,25,28.0,30,0,0,248,277,48,466,228,322,4,3,0,1373,215,178
Reims,34,28.0,58,6,2,320,300,45,520,246,307,1,4,0,1170,281,347
Rennes,35,28.0,55,2,0,370,317,39,488,304,305,3,4,2,1224,373,342
Saint-Étienne,32,27.5,54,2,0,365,287,39,296,276,307,4,15,2,1172,273,323
Strasbourg,30,28.0,60,2,0,326,358,39,392,231,272,2,7,2,1181,279,260
Toulouse,27,28.0,44,1,0,372,345,36,481,238,306,4,2,3,1288,360,357
