Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes
Angers,25,28.0,11662,10352,1251,354,48,52,463,502,98,39,42,4,9187,59
Auxerre,29,28.0,11464,10190,1230,377,26,135,462,474,117,43,56,0,8804,44
Brest,29,28.0,13100,11787,1275,387,28,103,537,502,114,51,57,0,10289,38
Le Havre,31,28.0,11501,10232,1225,372,19,61,567,466,107,70,26,0,9043,44
Lens,33,28.0,14807,13503,1226,330,47,60,577,522,155,73,56,0,12009,78
Lille,27,28.0,16170,14927,1206,347,27,83,447,499,137,39,58,0,13743,37
Lyon,28,28.0,15656,14374,1231,345,50,90,479,498,145,62,61,0,13157,51
Marseille,32,28.0,19578,18329,1204,380,48,47,506,471,143,70,47,0,17222,45
Monaco,28,28.0,14966,13598,1308,403,82,79,464,502,159,73,63,0,12174,60
Montpellier,35,27.5,11498,10128,1314,385,40,100,550,482,134,47,74,0,8961,56
Nantes,30,28.0,11273,9961,1286,351,25,31,502,544,120,59,49,0,8805,26
Nice,31,28.0,13235,11965,1226,377,73,53,488,452,142,53,57,0,10796,44
Paris S-G,25,28.0,21216,19977,1191,343,85,153,466,483,177,51,55,0,19000,48
Reims,34,28.0,12098,10805,1248,352,35,79,520,469,117,49,51,0,9648,45
Rennes,35,28.0,14030,12672,1319,392,33,90,488,537,144,75,40,0,11480,39
Saint-Étienne,32,27.5,12704,11457,1208,335,44,39,296,481,88,30,36,0,10275,39
Strasbourg,30,28.0,14162,12872,1251,417,44,37,392,457,115,48,49,0,11845,39
Toulouse,27,28.0,12275,10925,1314,386,38,75,481,544,131,72,47,0,9613,36
