Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Angers,25,28.0,9187,11662,78.8,160417,61230,4181,4743,88.2,3953,4665,84.7,831,1645,50.5,14,21.3,19.3,-7.3,183,640,170,56
Auxerre,29,28.0,8804,11464,76.8,162459,63605,3805,4385,86.8,3676,4335,84.8,1077,2095,51.4,28,27.4,20.7,0.6,249,667,176,56
Brest,29,28.0,10289,13100,78.5,191521,69825,4283,4927,86.9,4513,5273,85.6,1249,2253,55.4,25,23.6,24.2,1.4,244,772,160,53
Le Havre,31,28.0,9043,11501,78.6,165407,58822,3675,4228,86.9,4248,4920,86.3,925,1754,52.7,16,20.6,21.2,-4.6,195,629,160,66
Lens,33,28.0,12009,14807,81.1,198820,71781,5935,6689,88.7,4671,5402,86.5,1014,1788,56.7,18,28.8,32.9,-10.8,286,927,301,84
Lille,27,28.0,13743,16170,85.0,239805,76446,6018,6663,90.3,6262,6920,90.5,1141,1805,63.2,23,29.7,34.6,-6.7,269,1157,288,65
Lyon,28,28.0,13157,15656,84.0,217678,73274,6420,7080,90.7,5516,6165,89.5,909,1640,55.4,37,36.2,42.2,0.8,278,1026,302,48
Marseille,32,28.0,17222,19578,88.0,273010,84771,8643,9268,93.3,7274,7952,91.5,858,1478,58.1,37,35.7,35.8,1.3,312,1283,271,57
Monaco,28,28.0,12174,14966,81.3,204613,75747,5788,6558,88.3,5171,5934,87.1,936,1751,53.5,42,48.0,45.9,-6.0,334,1042,335,47
Montpellier,35,27.5,8961,11498,77.9,168814,63010,3700,4287,86.3,3826,4486,85.3,1196,2101,56.9,12,20.8,20.6,-8.8,225,704,141,65
Nantes,30,28.0,8805,11273,78.1,158901,62054,3790,4309,88.0,3897,4496,86.7,912,1868,48.8,24,23.4,21.6,0.6,216,722,183,72
Nice,31,28.0,10796,13235,81.6,182185,68832,5218,5837,89.4,4525,5208,86.9,840,1581,53.1,33,33.9,32.7,-0.9,290,778,263,53
Paris S-G,25,28.0,19000,21216,89.6,313768,89898,9048,9664,93.6,8137,8740,93.1,1347,1895,71.1,58,59.5,49.8,-1.5,433,1483,353,61
Reims,34,28.0,9648,12098,79.7,169443,63001,4360,4924,88.5,4075,4703,86.6,934,1808,51.7,15,21.1,23.8,-6.1,227,728,187,63
Rennes,35,28.0,11480,14030,81.8,201183,70082,5038,5688,88.6,5130,5858,87.6,1026,1781,57.6,22,22.6,25.4,-0.6,263,894,228,55
Saint-Étienne,32,27.5,10275,12704,80.9,170942,62792,4994,5572,89.6,4289,4918,87.2,740,1582,46.8,18,19.3,21.3,-1.3,206,775,173,26
Strasbourg,30,28.0,11845,14162,83.6,205622,72197,5096,5633,90.5,5722,6428,89.0,830,1561,53.2,35,32.5,26.2,2.5,222,719,171,43
Toulouse,27,28.0,9613,12275,78.3,166728,61854,4290,4936,86.9,4322,5053,85.5,775,1633,47.5,27,29.1,30.0,-2.1,249,712,230,51
