Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG)
Angers,25,28.4,28,2520,90,100,28.0,308,81,176,130,20,122,0.96,26,46,-20,-0.71,31.2,47.6,-16.4
Auxerre,29,26.6,28,2520,90,100,28.0,308,83,179,125,17,127,1.36,39,39,0,0.0,36.1,47.0,-10.9
Brest,29,28.8,28,2520,90,100,28.0,308,82,188,120,20,126,1.54,44,43,1,0.04,38.5,46.3,-7.8
Le Havre,31,27.5,28,2520,90,100,28.0,308,82,186,118,19,134,0.96,31,57,-26,-0.93,34.9,49.9,-15.0
Lens,33,27.9,28,2520,90,100,28.0,308,82,175,131,19,119,1.5,32,30,2,0.07,42.0,37.6,4.4
Lille,27,26.6,28,2520,90,100,28.0,308,82,179,129,20,123,1.68,42,30,12,0.43,46.4,37.9,8.4
Lyon,28,28.2,28,2520,90,100,28.0,308,83,189,119,18,133,1.71,54,38,16,0.57,49.5,40.3,9.2
Marseille,32,27.4,28,2520,90,100,28.0,308,81,184,122,22,129,1.86,57,38,19,0.68,50.3,38.5,11.8
Monaco,28,25.0,28,2520,90,100,28.0,308,82,183,123,19,128,1.79,54,35,19,0.68,62.8,30.2,32.6
Montpellier,35,27.3,27,2475,92,100,27.5,297,81,170,123,22,123,0.56,21,62,-41,-1.49,30.2,52.3,-22.1
Nantes,30,27.4,28,2520,90,100,28.0,308,83,180,128,15,124,1.07,33,47,-14,-0.5,33.3,48.6,-15.3
Nice,31,27.1,28,2520,90,100,28.0,308,83,176,128,16,124,1.68,52,35,17,0.61,48.6,32.1,16.5
Paris S-G,25,24.5,28,2520,90,100,28.0,308,81,189,119,23,130,2.64,80,26,54,1.93,74.6,27.3,47.4
Reims,34,25.4,28,2520,90,100,28.0,308,83,188,117,18,137,0.93,29,42,-13,-0.46,31.4,48.4,-16.9
Rennes,35,26.0,28,2520,90,100,28.0,308,82,184,122,20,130,1.14,38,38,0,0.0,37.9,37.2,0.7
Saint-Étienne,32,26.4,27,2475,92,100,27.5,297,82,175,120,20,130,0.74,26,64,-38,-1.38,29.4,62.2,-32.8
Strasbourg,30,22.1,28,2520,90,100,28.0,308,85,201,106,16,148,1.75,46,35,11,0.39,42.1,46.5,-4.4
Toulouse,27,25.9,28,2520,90,100,28.0,308,83,184,123,17,129,1.21,37,36,1,0.04,41.6,31.0,10.6
