Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving
Angers,25,41.6,28.0,14902,1741,5424,6502,3161,431,14896,531,222,41.8,280,52.7,7853,43196,22143,416,304,86,420,243,9113
Auxerre,29,42.3,28.0,14875,1834,5441,6361,3228,530,14870,515,203,39.4,276,53.6,8007,40374,19891,401,290,109,375,283,8740
Brest,29,48.3,28.0,16297,1841,5584,7303,3544,531,16288,419,171,40.8,215,51.3,8341,45273,21990,385,286,99,409,201,10209
Le Havre,31,42.6,28.0,14781,1824,5593,6341,3022,489,14773,426,191,44.8,198,46.5,7736,42523,21674,437,281,77,384,264,8944
Lens,33,53.9,28.0,18095,1561,5163,8309,4786,677,18091,497,202,40.6,264,53.1,10077,49968,24440,460,393,95,465,291,11913
Lille,27,57.3,28.0,19118,1581,4894,9329,5023,719,19109,514,247,48.1,243,47.3,11222,57765,30864,566,426,132,430,256,13619
Lyon,28,56.1,28.0,18627,1773,5428,8690,4675,785,18619,465,198,42.6,242,52.0,10783,53862,28967,526,359,152,378,249,13024
Marseille,32,64.3,28.0,22333,1599,5741,11475,5267,702,22326,491,220,44.8,246,50.1,13613,64205,33526,570,444,168,376,266,17051
Monaco,28,56.2,28.0,18282,1438,4675,9110,4683,822,18276,521,226,43.4,254,48.8,10631,55803,29241,560,458,156,509,284,12075
Montpellier,35,45.3,27.5,14531,1693,4801,6595,3302,467,14527,496,214,43.1,246,49.6,7632,43297,21441,431,289,113,390,232,8878
Nantes,30,39.6,28.0,14576,1834,5023,6570,3123,538,14572,443,191,43.1,235,53.0,7716,39663,19336,399,277,116,409,242,8753
Nice,31,47.7,28.0,16699,1800,5486,7640,3778,690,16694,583,247,42.4,294,50.4,8692,45960,25962,571,322,145,445,269,10703
Paris S-G,25,67.7,28.0,24318,1706,5661,12114,6703,1009,24313,680,305,44.9,332,48.8,14818,75365,40726,783,572,299,394,267,18897
Reims,34,44.8,28.0,15376,1961,5683,6306,3577,544,15374,527,239,45.4,259,49.1,8156,47886,25197,489,355,121,482,244,9549
Rennes,35,50.9,28.0,17204,1597,5110,8089,4156,655,17197,544,226,41.5,280,51.5,9519,50954,26100,545,357,157,428,296,11377
Saint-Étienne,32,45.9,27.5,15909,2019,5708,6771,3568,476,15905,456,200,43.9,231,50.7,8259,40911,21046,433,277,113,447,253,10205
Strasbourg,30,49.9,28.0,17354,2121,7116,7389,3007,497,17352,528,229,43.4,259,49.1,10104,46875,24422,455,284,138,416,220,11732
Toulouse,27,45.5,28.0,15415,1544,5011,7022,3566,640,15411,519,233,44.9,255,49.1,8503,41728,21509,452,291,121,432,261,9526
