Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected
Angers,25,28.0,25,257,74,28.8,9.18,2.64,0.08,0.27,18.7,12,5,6,31.2,26.5,0.11,-6.2
Auxerre,29,28.0,39,323,126,39.0,11.54,4.5,0.11,0.28,17.4,9,4,5,36.1,32.5,0.1,2.9
Brest,29,28.0,44,338,127,37.6,12.07,4.54,0.11,0.29,17.2,6,7,9,38.5,31.4,0.1,5.5
Le Havre,31,28.0,29,281,80,28.5,10.04,2.86,0.08,0.28,17.5,9,7,8,34.9,28.4,0.11,-5.9
Lens,33,28.0,30,380,112,29.5,13.57,4.0,0.07,0.23,16.5,7,4,4,42.0,39.0,0.11,-12.0
Lille,27,28.0,42,351,130,37.0,12.54,4.64,0.1,0.28,16.6,12,6,9,46.4,40.0,0.12,-4.4
Lyon,28,28.0,51,347,146,42.1,12.39,5.21,0.13,0.31,16.0,5,6,8,49.5,43.3,0.13,1.5
Marseille,32,28.0,55,395,150,38.0,14.11,5.36,0.12,0.33,16.9,11,6,7,50.3,44.7,0.12,4.7
Monaco,28,28.0,54,418,145,34.7,14.93,5.18,0.12,0.34,15.8,7,5,6,62.8,58.4,0.14,-8.8
Montpellier,35,27.5,21,311,98,31.5,11.31,3.56,0.06,0.18,19.5,18,3,4,30.2,27.2,0.09,-9.2
Nantes,30,28.0,33,290,104,35.9,10.36,3.71,0.1,0.28,15.7,3,4,4,33.3,30.2,0.11,-0.3
Nice,31,28.0,48,395,150,38.0,14.11,5.36,0.11,0.29,16.3,14,5,5,48.6,44.7,0.12,-0.6
Paris S-G,25,28.0,77,519,224,43.2,18.54,8.0,0.14,0.32,16.2,10,5,5,74.6,70.7,0.14,2.4
Reims,34,28.0,28,327,96,29.4,11.68,3.43,0.08,0.28,17.7,7,1,2,31.4,29.9,0.09,-3.4
Rennes,35,28.0,38,351,127,36.2,12.54,4.54,0.09,0.26,17.3,7,5,7,37.9,32.8,0.1,0.1
Saint-Étienne,32,27.5,26,273,82,30.0,9.93,2.98,0.08,0.28,18.5,7,3,4,29.4,26.2,0.1,-3.4
Strasbourg,30,28.0,45,290,118,40.7,10.36,4.21,0.15,0.36,15.7,8,2,2,42.1,40.5,0.14,2.9
Toulouse,27,28.0,35,331,116,35.0,11.82,4.14,0.1,0.28,15.5,5,3,4,41.6,38.5,0.12,-6.6
