Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Angers,25,28.4,41.6,28,308,2520,28.0,25,14,39,20,5,6,39,2,31.2,26.5,21.3,47.8,416,794,0.89,0.5,1.39,0.71,1.21,1.12,0.76,1.87,0.95
Auxerre,29,26.6,42.3,28,308,2520,28.0,39,28,67,35,4,5,52,4,36.1,32.5,27.4,59.9,401,909,1.39,1.0,2.39,1.25,2.25,1.29,0.98,2.27,1.16
Brest,29,28.8,48.3,28,308,2520,28.0,44,25,69,37,7,9,54,2,38.5,31.4,23.6,55.0,385,923,1.57,0.89,2.46,1.32,2.21,1.37,0.84,2.22,1.12
Le Havre,31,27.5,42.6,28,308,2520,28.0,29,16,45,22,7,8,50,4,34.9,28.4,20.6,49.0,437,865,1.04,0.57,1.61,0.79,1.36,1.24,0.74,1.98,1.01
Lens,33,27.9,53.9,28,308,2520,28.0,30,18,48,26,4,4,72,7,42.0,39.0,28.8,67.9,460,1185,1.07,0.64,1.71,0.93,1.57,1.5,1.03,2.53,1.39
Lille,27,26.6,57.3,28,308,2520,28.0,42,23,65,36,6,9,66,1,46.4,40.0,29.7,69.7,566,1339,1.5,0.82,2.32,1.29,2.11,1.66,1.06,2.72,1.43
Lyon,28,28.2,56.1,28,308,2520,28.0,51,37,88,45,6,8,48,0,49.5,43.3,36.2,79.5,526,1338,1.82,1.32,3.14,1.61,2.93,1.77,1.29,3.06,1.54
Marseille,32,27.4,64.3,28,308,2520,28.0,55,37,92,49,6,7,53,6,50.3,44.7,35.7,80.3,570,1425,1.96,1.32,3.29,1.75,3.07,1.8,1.27,3.07,1.6
Monaco,28,25.0,56.2,28,308,2520,28.0,54,42,96,49,5,6,52,3,62.8,58.4,48.0,106.5,560,1393,1.93,1.5,3.43,1.75,3.25,2.24,1.72,3.96,2.09
Montpellier,35,27.3,45.3,27,297,2475,27.5,21,12,33,18,3,4,75,7,30.2,27.2,20.8,48.0,431,869,0.76,0.44,1.2,0.65,1.09,1.1,0.76,1.86,0.99
Nantes,30,27.4,39.6,28,308,2520,28.0,33,24,57,29,4,4,56,3,33.3,30.2,23.4,53.6,399,875,1.18,0.86,2.04,1.04,1.89,1.19,0.84,2.02,1.08
Nice,31,27.1,47.7,28,308,2520,28.0,48,33,81,43,5,5,52,5,48.6,44.7,33.9,78.7,571,1071,1.71,1.18,2.89,1.54,2.71,1.74,1.21,2.95,1.6
Paris S-G,25,24.5,67.7,28,308,2520,28.0,77,58,135,72,5,5,30,0,74.6,70.7,59.5,130.2,783,1710,2.75,2.07,4.82,2.57,4.64,2.67,2.12,4.79,2.53
Reims,34,25.4,44.8,28,308,2520,28.0,28,15,43,27,1,2,58,6,31.4,29.9,21.1,51.0,489,987,1.0,0.54,1.54,0.96,1.5,1.12,0.76,1.88,1.07
Rennes,35,26.0,50.9,28,308,2520,28.0,38,22,60,33,5,7,55,2,37.9,32.8,22.6,55.4,545,1203,1.36,0.79,2.14,1.18,1.96,1.35,0.81,2.16,1.17
Saint-Étienne,32,26.4,45.9,27,297,2475,27.5,26,18,44,23,3,4,54,2,29.4,26.2,19.3,45.6,433,937,0.95,0.65,1.6,0.84,1.49,1.07,0.7,1.77,0.95
Strasbourg,30,22.1,49.9,28,308,2520,28.0,45,35,80,43,2,2,60,2,42.1,40.5,32.5,73.0,455,977,1.61,1.25,2.86,1.54,2.79,1.5,1.16,2.66,1.45
Toulouse,27,25.9,45.5,28,308,2520,28.0,35,27,62,32,3,4,44,1,41.6,38.5,29.1,67.5,452,1015,1.25,0.96,2.21,1.14,2.11,1.49,1.04,2.52,1.37
