Rank,Player,Value
1.0,Craig Dawson  •  Wolves,2
,Vitaly Janelt  •  Brentford,2
,Marc Guéhi  •  Crystal Palace,2
4.0,Dan Burn  •  Newcastle Utd,1
,Vladimír Coufal  •  West Ham,1
,Matt O'Riley  •  Brighton,1
,Archie Gray  •  Tottenham,1
,Dominic Solanke  •  Tottenham,1
,Ethan Pinnock  •  Brentford,1
,Joachim Andersen  •  2 squads,1
,Matt Doherty  •  Wolves,1
,Abdukodir Khusanov  •  Manchester City,1
,Manuel Ugarte Ribeiro  •  Manchester Utd,1
,Jannik Vestergaard  •  Leicester City,1
,Issa Diop  •  Fulham,1
,Sam Morsy  •  Ipswich Town,1
,Aaron Wan-Bissaka  •  West Ham,1
,Wilfred Ndidi  •  Leicester City,1
,Victor Bernth Kristiansen  •  Leicester City,1
,Rúben Dias  •  Manchester City,1
,Alphonse Areola  •  West Ham,1
,Lewis Dunk  •  Brighton,1
