Rank,Player,Value
1.0,Mohamed Salah  •  Liverpool,9
2.0,Justin Kluivert  •  Bournemouth,6
3.0,Bryan Mbeumo  •  Brentford,5
4.0,Raúl Jiménez  •  Fulham,3
,Cole Palmer  •  Chelsea,3
,Bruno Fernandes  •  Manchester Utd,3
,Chris Wood  •  Nott'ham Forest,3
,João Pedro  •  Brighton,3
9.0,Jean-Philippe Mateta  •  Crystal Palace,2
,Iliman Ndiaye  •  Everton,2
,Liam Delap  •  Ipswich Town,2
,Erling Haaland  •  Manchester City,2
,Alexander Isak  •  Newcastle Utd,2
,Lucas Paquetá  •  West Ham,2
,Ollie Watkins  •  Aston Villa,2
