Rank,Player,Value
1.0,Jack Stephens  •  Southampton,2
,Myles Lewis-Skelly  •  Arsenal,2
,Bruno Fernandes  •  Manchester Utd,2
4.0,Tom Cairney  •  Fulham,1
,William Saliba  •  Arsenal,1
,Rayan Aït-Nouri  •  Wolves,1
,Djed Spence  •  Tottenham,1
,Carlos Baleba  •  Brighton,1
,Eddie Nketiah  •  2 squads,1
,Harry Clarke  •  Ipswich Town,1
,Illia Zabarnyi  •  Bournemouth,1
,Rico Lewis  •  Manchester City,1
,Mohammed Kudus  •  West Ham,1
,Ashley Young  •  Everton,1
,Fabian Schär  •  Newcastle Utd,1
,Marc Guéhi  •  Crystal Palace,1
,Ryan Fraser  •  Southampton,1
,Christian Nørgaard  •  Brentford,1
,Joachim Andersen  •  2 squads,1
,Patrick Dorgu  •  Manchester Utd,1
,James Ward-Prowse  •  2 squads,1
,Abdoulaye Doucouré  •  Everton,1
,Daichi Kamada  •  Crystal Palace,1
,Jaden Philogene Bidace  •  2 squads,1
,Declan Rice  •  Arsenal,1
,Marc Cucurella  •  Chelsea,1
,Axel Tuanzebe  •  Ipswich Town,1
,Andrew Robertson  •  Liverpool,1
,Morgan Gibbs-White  •  Nott'ham Forest,1
,João Gomes  •  Wolves,1
,Leandro Trossard  •  Arsenal,1
,Jáder Durán  •  Aston Villa,1
,Kalvin Phillips  •  Ipswich Town,1
,Curtis Jones  •  Liverpool,1
,Jan Paul van Hecke  •  Brighton,1
,Konstantinos Mavropanos  •  West Ham,1
,Edson Álvarez  •  West Ham,1
