Rank,Player,Value
1.0,Jørgen Strand Larsen  •  Wolves,65.9
2.0,Chris Wood  •  Nott'ham Forest,58.0
3.0,Sammie Szmodics  •  Ipswich Town,57.1
4.0,Ismaila Sarr  •  Crystal Palace,55.8
5.0,Erling Haaland  •  Manchester City,54.5
6.0,Marco Asensio  •  Aston Villa,53.8
7.0,Keane Lewis-Potter  •  Brentford,51.9
8.0,Beto  •  Everton,51.5
9.0,Pablo Sarabia  •  Wolves,50.0
,Cristian Romero  •  Tottenham,50.0
,Yankuba Minteh  •  Brighton,50.0
,Matthijs de Ligt  •  Manchester Utd,50.0
,Emerson Palmieri  •  West Ham,50.0
