Rank,Player,Value
1.0,Jack Taylor  •  Ipswich Town,24
2.0,Rodrigo Muniz  •  Fulham,23
3.0,Jota Silva  •  Nott'ham Forest,22
4.0,Tommy Doyle  •  Wolves,21
5.0,Taiwo Awoniyi  •  Nott'ham Forest,20
6.0,Joshua Zirkzee  •  Manchester Utd,18
,George Hirst  •  Ipswich Town,18
,Ian Maatsen  •  Aston Villa,18
9.0,Morato  •  Nott'ham Forest,17
,Darwin Núñez  •  Liverpool,17
,Christopher Nkunku  •  Chelsea,17
,Joe Willock  •  Newcastle Utd,17
,Tom Cairney  •  Fulham,17
,Jack Clarke  •  Ipswich Town,17
,Gonçalo Guedes  •  Wolves,17
