Rank,Player,Value
1.0,Yoane Wissa  •  Brentford,0.21
,Alexander Isak  •  Newcastle Utd,0.21
3.0,Marshall Munetsi  •  Wolves,0.2
4.0,Brennan Johnson  •  Tottenham,0.19
,Erling Haaland  •  Manchester City,0.19
,Christopher Nkunku  •  Chelsea,0.19
,Ismaila Sarr  •  Crystal Palace,0.19
8.0,Jamie Vardy  •  Leicester City,0.18
,Jean-Philippe Mateta  •  Crystal Palace,0.18
,Pablo Sarabia  •  Wolves,0.18
,Nicolas Jackson  •  Chelsea,0.18
,Ollie Watkins  •  Aston Villa,0.18
,Beto  •  Everton,0.18
,Jørgen Strand Larsen  •  Wolves,0.18
,Kai Havertz  •  Arsenal,0.18
