Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper
Arsenal,1,31.0,26,3,2,4,0,27.0,0.25,1.0,0.03,125,390,32.1,985,137,31.3,29.8,160,51.3,39.2,330,43,13.0,53,1.71
Aston Villa,2,31.0,46,1,1,2,0,44.9,0.35,-1.1,-0.03,138,356,38.8,971,106,27.6,29.8,234,37.6,32.4,426,46,10.8,28,0.9
Bournemouth,3,31.0,40,4,1,5,0,47.6,0.3,7.6,0.25,150,397,37.8,767,125,37.7,33.6,225,48.0,39.3,383,17,4.4,51,1.65
Brentford,2,31.0,47,1,0,2,3,46.4,0.27,2.4,0.08,216,573,37.7,1214,110,36.7,34.4,274,46.4,38.1,493,42,8.5,28,0.9
Brighton,2,31.0,47,7,1,4,2,39.4,0.3,-5.6,-0.18,102,313,32.6,983,108,27.0,25.1,194,24.7,24.1,360,27,7.5,47,1.52
Chelsea,2,31.0,37,5,0,4,0,40.0,0.26,3.0,0.1,86,351,24.5,1003,163,32.1,32.5,174,16.7,19.9,320,32,10.0,52,1.68
Crystal Palace,1,30.0,35,1,0,2,2,37.8,0.33,4.8,0.16,117,465,25.2,731,94,47.3,38.0,238,50.0,41.2,438,21,4.8,37,1.23
Everton,1,31.0,38,0,1,6,0,38.2,0.3,0.2,0.01,258,673,38.3,1041,134,52.3,40.3,236,54.7,43.7,459,25,5.4,54,1.74
Fulham,1,31.0,42,2,0,4,2,37.3,0.28,-2.7,-0.09,112,314,35.7,953,121,25.6,29.4,218,32.1,29.6,417,20,4.8,24,0.77
Ipswich Town,3,31.0,65,5,0,5,1,60.4,0.33,-3.6,-0.12,147,426,34.5,813,147,36.4,35.2,246,52.8,40.6,480,61,12.7,30,0.97
Leicester City,3,30.0,67,1,0,3,3,61.9,0.36,-2.1,-0.07,152,518,29.3,913,142,44.6,32.0,248,44.8,34.0,485,26,5.4,29,0.97
Liverpool,3,31.0,30,0,0,2,0,29.4,0.28,-0.6,-0.02,86,260,33.1,848,137,26.1,26.5,185,21.1,24.3,313,13,4.2,48,1.55
Manchester City,2,31.0,40,3,1,3,2,39.9,0.34,1.9,0.06,101,226,44.7,977,127,19.9,27.9,157,20.4,24.9,291,14,4.8,53,1.71
Manchester Utd,1,31.0,41,3,0,10,1,41.8,0.31,1.8,0.06,102,395,25.8,996,125,30.9,30.0,192,45.3,35.2,371,21,5.7,20,0.65
Newcastle Utd,2,29.0,39,1,0,4,1,38.9,0.3,0.9,0.03,67,272,24.6,677,179,23.3,25.2,200,57.0,43.9,389,38,9.8,49,1.69
Nott'ham Forest,1,31.0,37,2,1,4,0,39.8,0.29,2.8,0.09,212,598,35.5,543,69,77.3,45.9,269,66.2,47.2,564,17,3.0,6,0.19
Southampton,3,31.0,74,7,0,11,0,71.0,0.32,-3.0,-0.1,186,552,33.7,1020,142,43.2,30.0,237,46.8,37.6,423,29,6.9,23,0.74
Tottenham,4,31.0,45,2,0,3,2,49.0,0.34,6.0,0.19,43,134,32.1,849,154,14.6,27.2,223,4.5,14.9,421,38,9.0,34,1.1
West Ham,2,31.0,52,3,1,6,3,47.8,0.31,-1.2,-0.04,181,506,35.8,953,147,37.0,35.4,265,57.7,43.0,484,19,3.9,33,1.06
Wolves,2,31.0,59,6,1,10,3,49.0,0.32,-7.0,-0.22,128,448,28.6,829,122,43.9,36.6,197,42.6,35.4,474,35,7.4,50,1.61
