Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0
Arsenal,24,31.0,504,295,189,214,101,216,430,50.2,214,272,88,184,187,691,547
Aston Villa,28,31.0,528,302,247,206,75,251,448,56.0,197,278,92,186,202,730,632
Bournemouth,28,31.0,602,351,249,266,87,258,543,47.5,285,385,111,274,305,907,812
Brentford,27,31.0,513,309,236,178,99,253,473,53.5,220,401,163,238,241,754,866
Brighton,31,31.0,563,335,226,240,97,273,572,47.7,299,358,101,257,260,823,616
Chelsea,29,31.0,476,300,205,195,76,226,452,50.0,226,294,87,207,226,702,541
Crystal Palace,29,30.0,650,385,315,253,82,280,550,50.9,270,383,107,276,256,906,848
Everton,26,31.0,621,363,317,219,85,285,539,52.9,254,328,120,208,278,899,925
Fulham,26,31.0,559,336,268,221,70,245,470,52.1,225,303,88,215,260,819,707
Ipswich Town,32,31.0,496,278,241,185,70,240,519,46.2,279,348,146,202,263,759,857
Leicester City,28,30.0,593,338,306,219,68,263,554,47.5,291,401,152,249,260,853,782
Liverpool,24,31.0,536,327,225,224,87,288,551,52.3,263,300,79,221,251,787,596
Manchester City,29,31.0,415,253,158,179,78,179,368,48.6,189,269,75,194,184,599,509
Manchester Utd,29,31.0,671,402,321,256,94,318,583,54.5,265,306,93,213,319,990,623
Newcastle Utd,24,29.0,477,300,224,183,70,253,480,52.7,227,342,117,225,222,699,660
Nott'ham Forest,23,31.0,568,347,336,178,54,272,543,50.1,271,361,133,228,266,834,942
Southampton,34,31.0,548,317,251,234,63,234,494,47.4,260,350,151,199,252,800,746
Tottenham,31,31.0,564,357,236,243,85,260,508,51.2,248,363,125,238,259,823,629
West Ham,27,31.0,531,320,261,201,69,224,433,51.7,209,381,141,240,277,808,826
Wolves,29,31.0,649,377,341,250,58,300,550,54.5,250,371,124,247,257,906,789
