Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Arsenal,24,31.0,769,24.81,572,68,39,53,27,10,95,3.06,68,10,4,9,3
Aston Villa,28,31.0,687,22.16,480,73,44,46,31,13,83,2.68,66,5,3,5,3
Bournemouth,28,31.0,867,27.97,662,58,36,57,33,21,86,2.77,58,5,4,7,10
Brentford,27,31.0,645,20.81,484,55,30,36,30,10,88,2.84,61,8,4,6,8
Brighton,31,31.0,745,24.03,547,54,47,39,45,13,84,2.71,59,5,8,3,7
Chelsea,29,31.0,876,28.26,668,50,48,61,31,18,94,3.03,66,4,8,8,6
Crystal Palace,29,30.0,698,23.27,507,59,27,55,39,11,68,2.27,45,6,4,8,4
Everton,26,31.0,582,18.77,434,50,37,23,28,10,51,1.65,33,3,4,3,5
Fulham,26,31.0,756,24.39,573,62,33,55,20,13,85,2.74,66,3,5,4,4
Ipswich Town,32,31.0,527,17.0,362,63,39,25,28,10,48,1.55,37,2,5,2,2
Leicester City,28,30.0,463,15.43,344,37,35,21,23,3,44,1.47,30,3,5,3,3
Liverpool,24,31.0,932,30.06,723,50,67,57,20,15,127,4.1,101,3,9,7,6
Manchester City,29,31.0,900,29.03,715,54,54,38,31,8,97,3.13,74,3,8,8,2
Manchester Utd,29,31.0,742,23.94,559,64,33,45,28,13,57,1.84,35,4,4,5,5
Newcastle Utd,24,29.0,700,24.14,533,51,34,34,31,17,87,3.0,74,4,3,2,3
Nott'ham Forest,23,31.0,667,21.52,479,61,32,48,31,16,80,2.58,55,7,3,6,6
Southampton,34,31.0,526,16.97,370,47,40,40,22,7,37,1.19,23,3,3,7,0
Tottenham,31,31.0,763,24.61,565,55,50,56,28,9,96,3.1,73,5,8,6,3
West Ham,27,31.0,678,21.87,479,60,42,56,29,12,49,1.58,27,5,3,11,3
Wolves,29,31.0,610,19.68,440,45,48,30,28,19,76,2.45,65,2,5,1,0
