Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Arsenal,1,31,31,2790,31.0,26,0.84,100,74,77.0,17,11,3,11,35.5,3,3,0,0
Aston Villa,2,31,31,2790,31.0,46,1.48,127,80,64.6,14,9,8,5,16.1,2,1,1,0
Bournemouth,3,31,31,2790,31.0,40,1.29,147,107,75.5,12,9,10,6,19.4,4,4,0,0
Brentford,2,31,31,2790,31.0,47,1.52,174,130,73.6,12,6,13,6,19.4,1,1,0,0
Brighton,2,31,31,2790,31.0,47,1.52,114,69,64.9,12,11,8,7,22.6,7,7,0,0
Chelsea,2,31,31,2790,31.0,37,1.19,136,98,76.5,15,8,8,8,25.8,6,5,1,0
Crystal Palace,1,30,30,2700,30.0,35,1.17,116,82,70.7,11,10,9,9,30.0,2,1,1,0
Everton,1,31,31,2790,31.0,38,1.23,126,86,69.8,7,14,10,9,29.0,2,0,2,0
Fulham,1,31,31,2790,31.0,42,1.35,126,86,68.3,13,9,9,5,16.1,2,2,0,0
Ipswich Town,3,31,31,2790,31.0,65,2.1,173,109,65.3,4,8,19,2,6.5,5,5,0,0
Leicester City,3,30,30,2700,30.0,67,2.23,169,104,60.9,4,5,21,1,3.3,2,1,1,0
Liverpool,3,31,31,2790,31.0,30,0.97,102,71,70.6,22,7,2,13,41.9,1,0,1,0
Manchester City,2,31,31,2790,31.0,40,1.29,115,77,67.8,15,7,9,9,29.0,3,3,0,0
Manchester Utd,1,31,31,2790,31.0,41,1.32,126,85,69.8,10,8,13,9,29.0,4,3,1,0
Newcastle Utd,2,29,29,2610,29.0,39,1.34,127,89,70.1,15,5,9,9,31.0,1,1,0,0
Nott'ham Forest,1,31,31,2790,31.0,37,1.19,136,99,74.3,17,6,8,13,41.9,2,2,0,0
Southampton,3,31,31,2790,31.0,74,2.39,207,133,67.6,2,4,25,2,6.5,7,7,0,0
Tottenham,4,31,31,2790,31.0,45,1.45,140,97,69.3,11,4,16,6,19.4,2,2,0,0
West Ham,2,31,31,2790,31.0,52,1.68,151,102,67.5,9,8,14,6,19.4,3,3,0,0
Wolves,2,31,31,2790,31.0,59,1.9,139,82,61.9,9,5,17,6,19.4,7,6,1,0
