Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels
Arsenal,24,31.0,62,5,2,349,335,70,649,187,295,2,3,0,1170,407,386
Aston Villa,28,31.0,63,2,1,350,411,48,490,202,302,3,2,0,1161,310,347
Bournemouth,28,31.0,77,1,0,426,324,58,685,305,351,7,4,0,1548,471,523
Brentford,27,31.0,42,1,0,251,282,60,559,241,309,5,1,3,1353,524,465
Brighton,31,31.0,67,2,2,367,349,35,549,260,335,3,7,2,1337,435,384
Chelsea,29,31.0,89,1,1,361,372,53,517,226,300,4,6,0,1280,328,318
Crystal Palace,29,30.0,63,3,2,324,331,60,481,256,385,2,2,2,1374,428,537
Everton,26,31.0,66,2,1,363,307,70,547,278,363,1,2,0,1258,493,465
Fulham,26,31.0,66,2,0,346,298,35,703,260,336,3,2,2,1312,434,428
Ipswich Town,32,31.0,79,3,3,361,329,43,422,263,278,2,5,1,1210,439,444
Leicester City,28,30.0,68,0,0,319,306,49,505,260,338,2,2,3,1182,406,452
Liverpool,24,31.0,58,2,1,353,292,47,583,251,327,6,1,0,1329,339,300
Manchester City,29,31.0,53,1,1,235,307,39,523,184,253,3,3,2,1174,248,258
Manchester Utd,29,31.0,70,3,1,334,295,57,501,319,402,3,4,1,1417,390,395
Newcastle Utd,24,29.0,53,1,0,308,357,59,504,222,300,3,1,1,1281,350,351
Nott'ham Forest,23,31.0,67,2,2,327,338,73,479,266,347,3,2,0,1297,455,449
Southampton,34,31.0,78,3,0,386,359,42,464,252,317,2,7,0,1214,382,324
Tottenham,31,31.0,60,1,1,359,404,50,627,259,357,3,2,2,1405,344,348
West Ham,27,31.0,67,3,2,358,330,59,505,277,320,2,3,3,1288,488,469
Wolves,29,31.0,69,2,2,409,342,55,456,257,377,0,7,3,1345,369,397
