Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes
Arsenal,24,31.0,16217,14871,1276,358,58,63,649,500,202,185,3,2,13583,70
Aston Villa,28,31.0,14740,13284,1408,485,71,44,490,421,191,128,19,1,12206,48
Bournemouth,28,31.0,13552,12103,1391,344,49,64,685,558,193,144,16,3,10303,58
Brentford,27,31.0,14203,12854,1289,318,53,59,559,480,139,107,2,0,11103,60
Brighton,31,31.0,15589,14210,1344,416,60,66,549,505,151,88,35,6,12837,35
Chelsea,29,31.0,17722,16333,1336,434,72,82,517,477,183,107,27,4,15060,53
Crystal Palace,29,30.0,12845,11504,1281,361,53,46,481,480,137,84,18,0,9704,60
Everton,26,31.0,11907,10492,1345,344,25,63,547,567,129,79,24,11,8959,70
Fulham,26,31.0,16277,14883,1359,375,39,98,703,529,164,64,78,0,13343,35
Ipswich Town,32,31.0,12328,10987,1298,355,39,50,422,476,125,94,16,1,9588,43
Leicester City,28,30.0,13892,12508,1335,353,48,37,505,532,105,67,19,3,11066,49
Liverpool,24,31.0,17821,16399,1375,365,55,115,583,566,198,120,49,1,14996,47
Manchester City,29,31.0,19818,18495,1284,360,69,69,523,488,209,100,29,4,17488,39
Manchester Utd,29,31.0,16574,15238,1279,330,77,88,501,526,159,88,33,9,13646,57
Newcastle Utd,24,29.0,14294,12875,1360,387,66,69,504,545,160,103,13,6,11605,59
Nott'ham Forest,23,31.0,11502,10134,1295,356,45,45,479,471,131,63,58,0,8638,73
Southampton,34,31.0,15674,14350,1282,398,39,49,464,416,127,85,25,0,13166,42
Tottenham,31,31.0,16954,15356,1548,470,49,58,627,559,220,98,53,0,14143,50
West Ham,27,31.0,14684,13296,1329,355,46,114,505,494,132,69,51,1,11743,59
Wolves,29,31.0,14309,12903,1351,400,50,99,456,553,111,73,27,2,11497,55
