Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG)
Arsenal,24,26.5,31,2790,90,100,31.0,341,83,225,113,19,166,2.0,56,26,30,0.97,48.5,26.8,21.6
Aston Villa,28,27.7,31,2790,90,100,31.0,341,80,202,139,25,138,1.65,46,46,0,0.0,45.4,42.4,3.0
Bournemouth,28,25.8,31,2790,90,100,31.0,341,83,208,133,19,146,1.45,51,40,11,0.35,56.9,40.6,16.3
Brentford,27,26.6,31,2790,90,100,31.0,341,85,228,113,15,166,1.35,51,47,4,0.13,47.3,47.7,-0.4
Brighton,31,25.6,31,2790,90,100,31.0,341,82,188,151,18,128,1.52,49,47,2,0.06,45.5,42.8,2.7
Chelsea,29,24.4,31,2790,90,100,31.0,341,83,222,118,19,161,1.71,54,37,17,0.55,58.1,41.5,16.7
Crystal Palace,29,26.9,30,2700,90,100,30.0,330,84,215,113,17,157,1.43,39,35,4,0.13,45.4,37.0,8.4
Everton,26,28.8,31,2790,90,100,31.0,341,84,239,100,19,178,1.13,33,38,-5,-0.16,33.6,38.8,-5.2
Fulham,26,28.7,31,2790,90,100,31.0,341,83,197,144,16,135,1.55,47,42,5,0.16,41.5,36.7,4.8
Ipswich Town,32,26.5,31,2790,90,100,31.0,341,83,194,145,17,134,0.65,31,65,-34,-1.1,29.1,61.8,-32.7
Leicester City,28,27.3,30,2700,90,100,30.0,330,83,201,129,19,141,0.57,25,67,-42,-1.4,25.8,55.6,-29.9
Liverpool,24,27.9,31,2790,90,100,31.0,341,82,209,132,19,147,2.35,72,30,42,1.35,67.9,26.8,41.1
Manchester City,29,27.5,31,2790,90,100,31.0,341,85,238,103,17,172,1.68,57,40,17,0.55,54.1,40.4,13.7
Manchester Utd,29,26.3,31,2790,90,100,31.0,341,82,212,127,22,151,1.23,37,41,-4,-0.13,41.4,45.3,-3.9
Newcastle Utd,24,27.9,29,2610,90,100,29.0,319,83,196,122,18,139,1.72,49,39,10,0.34,47.5,36.9,10.6
Nott'ham Forest,23,26.9,31,2790,90,100,31.0,341,82,198,141,18,137,1.84,51,37,14,0.45,38.5,38.6,-0.1
Southampton,34,26.0,31,2790,90,100,31.0,341,80,191,149,23,130,0.32,23,74,-51,-1.65,28.6,70.4,-41.8
Tottenham,31,25.9,31,2790,90,100,31.0,341,82,211,131,21,147,1.19,58,45,13,0.42,50.2,50.4,-0.2
West Ham,27,28.8,31,2790,90,100,31.0,341,80,196,142,23,137,1.13,35,52,-17,-0.55,38.6,50.5,-11.8
Wolves,29,27.6,31,2790,90,100,31.0,341,83,208,132,17,146,1.03,43,59,-16,-0.52,35.4,48.4,-13.0
