Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving
Arsenal,24,56.1,31.0,19339,1492,4945,8383,6162,1033,19337,612,264,43.1,271,44.3,11223,59772,31622,686,413,231,392,313,13446
Aston Villa,28,51.2,31.0,17957,2147,6081,7703,4351,771,17954,620,276,44.5,256,41.3,10178,56335,29486,592,374,174,419,318,11982
Bournemouth,28,47.5,31.0,17515,1806,5252,7502,4983,854,17508,575,244,42.4,266,46.3,9442,54477,29101,619,412,202,500,296,10203
Brentford,27,48.1,31.0,17793,2754,6929,6617,4405,809,17788,514,215,41.8,238,46.3,9383,50898,25862,495,304,176,429,252,10938
Brighton,31,52.3,31.0,19275,2152,6236,8385,4872,844,19272,680,283,41.6,330,48.5,11114,61830,33791,654,448,202,473,301,12684
Chelsea,29,57.9,31.0,20917,1962,6315,9468,5304,930,20913,651,265,40.7,281,43.2,12112,64305,34020,704,406,257,377,254,14948
Crystal Palace,29,44.2,30.0,16529,2039,6113,6947,3626,620,16527,397,169,42.6,187,47.1,8260,42210,20291,403,279,105,387,285,9630
Everton,26,40.0,31.0,15604,2026,5694,6193,3893,587,15602,543,240,44.2,263,48.4,7523,40265,19793,389,289,101,416,328,8890
Fulham,26,52.0,31.0,19650,2146,6597,8184,5074,757,19646,540,244,45.2,216,40.0,11667,60111,30943,641,447,187,409,239,13217
Ipswich Town,32,41.4,31.0,15840,2418,6361,6284,3360,500,15838,507,226,44.6,225,44.4,7907,44250,21361,418,277,127,458,290,9496
Leicester City,28,45.3,30.0,17315,2260,6303,7893,3292,507,17313,523,214,40.9,251,48.0,9756,49231,24608,476,296,106,404,259,10975
Liverpool,24,57.8,31.0,21218,1899,5808,9581,6014,1060,21209,548,254,46.4,249,45.4,12277,62697,33449,685,460,272,440,288,14835
Manchester City,29,61.0,31.0,22802,1721,5331,9674,7978,1103,22799,658,311,47.3,253,38.4,14628,84653,45648,940,708,334,380,328,17243
Manchester Utd,29,52.8,31.0,20102,2081,7059,8588,4642,774,20099,514,211,41.1,264,51.4,12371,61307,30754,548,379,188,407,295,13511
Newcastle Utd,24,50.3,29.0,17473,1819,5903,7274,4468,789,17469,518,226,43.6,224,43.2,10079,53999,27030,560,348,203,367,370,11522
Nott'ham Forest,23,40.0,31.0,15273,2022,5220,6067,4186,656,15270,514,234,45.5,199,38.7,7036,40663,21724,525,334,159,473,263,8565
Southampton,34,50.1,31.0,19068,2403,6917,8243,4073,589,19066,610,264,43.3,269,44.1,10653,56421,29011,559,401,144,388,295,13046
Tottenham,31,56.4,31.0,20539,2133,6693,8632,5418,884,20536,683,266,38.9,350,51.2,12920,70557,35259,705,481,222,439,353,14025
West Ham,27,47.6,31.0,18388,2381,6719,7847,3998,694,18385,647,283,43.7,288,44.5,9354,47541,23947,506,330,145,406,328,11651
Wolves,29,47.8,31.0,17945,2141,6301,8074,3787,588,17944,571,253,44.3,238,41.7,9809,53731,27769,497,374,121,473,291,11408
