Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected
Arsenal,24,31.0,54,431,143,33.2,13.9,4.61,0.12,0.36,14.9,8,2,2,48.5,47.0,0.11,5.5
Aston Villa,28,31.0,45,386,126,32.6,12.45,4.06,0.11,0.34,16.0,11,2,3,45.4,43.1,0.11,-0.4
Bournemouth,28,31.0,50,492,169,34.3,15.87,5.45,0.09,0.26,16.7,8,6,7,56.9,51.4,0.11,-6.9
Brentford,27,31.0,51,354,138,39.0,11.42,4.45,0.13,0.33,15.4,10,5,5,47.3,43.5,0.13,3.7
Brighton,31,31.0,47,421,144,34.2,13.58,4.65,0.1,0.31,17.2,21,3,3,45.5,43.1,0.1,1.5
Chelsea,29,31.0,53,490,167,34.1,15.81,5.39,0.1,0.3,16.6,15,3,4,58.1,55.0,0.12,-5.1
Crystal Palace,29,30.0,37,410,140,34.1,13.67,4.67,0.09,0.25,17.1,16,2,2,45.4,43.9,0.11,-8.4
Everton,26,31.0,30,331,109,32.9,10.68,3.52,0.08,0.26,17.1,10,2,2,33.6,32.0,0.1,-3.6
Fulham,26,31.0,46,414,135,32.6,13.35,4.35,0.1,0.32,16.4,7,3,4,41.5,38.4,0.09,4.5
Ipswich Town,32,31.0,30,296,101,34.1,9.55,3.26,0.09,0.28,17.4,10,2,2,29.1,27.5,0.1,0.9
Leicester City,28,30.0,25,262,83,31.7,8.73,2.77,0.09,0.28,17.7,6,2,2,25.8,24.3,0.09,-0.8
Liverpool,24,31.0,72,514,180,35.0,16.58,5.81,0.12,0.35,16.0,6,9,9,67.9,61.0,0.12,4.1
Manchester City,29,31.0,56,490,173,35.3,15.81,5.58,0.11,0.31,17.0,16,2,3,54.1,51.6,0.11,1.9
Manchester Utd,29,31.0,35,415,135,32.5,13.39,4.35,0.08,0.24,17.1,11,3,3,41.4,39.0,0.1,-6.4
Newcastle Utd,24,29.0,48,384,118,30.7,13.24,4.07,0.12,0.38,15.8,9,3,4,47.5,44.4,0.12,0.5
Nott'ham Forest,23,31.0,50,385,134,34.8,12.42,4.32,0.12,0.35,17.6,12,3,3,38.5,36.1,0.1,11.5
Southampton,34,31.0,22,289,91,31.5,9.32,2.94,0.08,0.24,16.2,5,0,2,28.6,26.9,0.1,-6.6
Tottenham,31,31.0,55,431,160,37.1,13.9,5.16,0.12,0.33,15.9,9,2,3,50.2,47.9,0.11,4.8
West Ham,27,31.0,33,392,108,27.6,12.65,3.48,0.08,0.28,16.5,13,3,3,38.6,36.3,0.1,-5.6
Wolves,29,31.0,43,348,131,37.6,11.23,4.23,0.12,0.33,18.2,15,0,0,35.4,35.4,0.1,7.6
