Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Arsenal,24,26.5,56.1,31,341,2790,31.0,54,43,97,52,2,2,62,5,48.5,47.0,37.0,84.0,686,1487,1.74,1.39,3.13,1.68,3.06,1.56,1.19,2.76,1.51
Aston Villa,28,27.7,51.2,31,341,2790,31.0,45,36,81,43,2,3,63,2,45.4,43.1,34.5,77.6,592,1078,1.45,1.16,2.61,1.39,2.55,1.47,1.11,2.58,1.39
Bournemouth,28,25.8,47.5,31,341,2790,31.0,50,37,87,44,6,7,77,1,56.9,51.4,38.6,90.0,619,1222,1.61,1.19,2.81,1.42,2.61,1.84,1.25,3.08,1.66
Brentford,27,26.6,48.1,31,341,2790,31.0,51,32,83,46,5,5,42,1,47.3,43.5,34.2,77.7,495,1127,1.65,1.03,2.68,1.48,2.52,1.53,1.1,2.63,1.4
Brighton,31,25.6,52.3,31,341,2790,31.0,47,31,78,44,3,3,67,2,45.5,43.1,32.1,75.3,654,1249,1.52,1.0,2.52,1.42,2.42,1.47,1.04,2.51,1.39
Chelsea,29,24.4,57.9,31,341,2790,31.0,53,41,94,50,3,4,89,1,58.1,55.0,44.8,99.7,704,1287,1.71,1.32,3.03,1.61,2.94,1.88,1.44,3.32,1.77
Crystal Palace,29,26.9,44.2,30,330,2700,30.0,37,29,66,35,2,2,63,3,45.4,43.9,34.5,78.3,403,957,1.23,0.97,2.2,1.17,2.13,1.51,1.15,2.66,1.46
Everton,26,28.8,40.0,31,341,2790,31.0,30,19,49,28,2,2,66,2,33.6,32.0,25.4,57.4,389,820,0.97,0.61,1.58,0.9,1.52,1.08,0.82,1.9,1.03
Fulham,26,28.7,52.0,31,341,2790,31.0,46,39,85,43,3,4,66,2,41.5,38.4,32.1,70.5,641,1261,1.48,1.26,2.74,1.39,2.65,1.34,1.04,2.38,1.24
Ipswich Town,32,26.5,41.4,31,341,2790,31.0,30,22,52,28,2,2,79,3,29.1,27.5,19.9,47.4,418,778,0.97,0.71,1.68,0.9,1.61,0.94,0.64,1.58,0.89
Leicester City,28,27.3,45.3,30,330,2700,30.0,25,20,45,23,2,2,68,0,25.8,24.3,20.5,44.8,476,879,0.83,0.67,1.5,0.77,1.43,0.86,0.68,1.54,0.81
Liverpool,24,27.9,57.8,31,341,2790,31.0,72,54,126,63,9,9,58,2,67.9,61.0,49.5,110.5,685,1559,2.32,1.74,4.06,2.03,3.77,2.19,1.6,3.79,1.97
Manchester City,29,27.5,61.0,31,341,2790,31.0,56,41,97,54,2,3,53,1,54.1,51.6,43.9,95.5,940,1579,1.81,1.32,3.13,1.74,3.06,1.74,1.42,3.16,1.67
Manchester Utd,29,26.3,52.8,31,341,2790,31.0,35,23,58,32,3,3,70,3,41.4,39.0,30.8,69.8,548,1151,1.13,0.74,1.87,1.03,1.77,1.33,0.99,2.33,1.26
Newcastle Utd,24,27.9,50.3,29,319,2610,29.0,48,37,85,45,3,4,53,1,47.5,44.4,35.5,79.9,560,1164,1.66,1.28,2.93,1.55,2.83,1.64,1.22,2.86,1.53
Nott'ham Forest,23,26.9,40.0,31,341,2790,31.0,50,36,86,47,3,3,67,2,38.5,36.1,28.2,64.3,525,902,1.61,1.16,2.77,1.52,2.68,1.24,0.91,2.15,1.17
Southampton,34,26.0,50.1,31,341,2790,31.0,22,14,36,22,0,2,78,3,28.6,26.9,21.8,48.7,559,980,0.71,0.45,1.16,0.71,1.16,0.92,0.7,1.63,0.87
Tottenham,31,25.9,56.4,31,341,2790,31.0,55,43,98,53,2,3,60,1,50.2,47.9,38.6,86.4,705,1381,1.77,1.39,3.16,1.71,3.1,1.62,1.24,2.86,1.54
West Ham,27,28.8,47.6,31,341,2790,31.0,33,20,53,30,3,3,67,3,38.6,36.3,27.1,63.4,506,996,1.06,0.65,1.71,0.97,1.61,1.25,0.87,2.12,1.17
Wolves,29,27.6,47.8,31,341,2790,31.0,43,35,78,43,0,0,69,2,35.4,35.4,29.2,64.6,497,978,1.39,1.13,2.52,1.39,2.52,1.14,0.94,2.08,1.14
