Rank,Player,Value
1.0,Malick Thiaw  •  Milan,3
2.0,Lautaro Gianetti  •  Udinese,2
,Antonino Gallo  •  Lecce,2
4.0,Giorgio Altare  •  Venezia,1
,Emmanuel Gyasi  •  Empoli,1
,Santiago Castro  •  Bologna,1
,Patrick Dorgu  •  Lecce,1
,Stefan Lekovic  •  Monza,1
,Adam Marušić  •  Lazio,1
,Antonio Candela  •  Venezia,1
,Morten Thorsby  •  Genoa,1
,Saúl Coco  •  Torino,1
,Lorenzo Montipò  •  Hellas Verona,1
,Woyo Coulibaly  •  Parma,1
,Maduka Okoye  •  Udinese,1
,Souleymane Touré  •  Udinese,1
,Cristiano Biraghi  •  2 squads,1
,Mario Gila  •  Lazio,1
,Matteo Darmian  •  Inter,1
,Jesse Joronen  •  Venezia,1
,Jaka Bijol  •  Udinese,1
,Berat Djimsiti  •  Atalanta,1
,Alessandro Vogliacco  •  2 squads,1
,Nicola Leali  •  Genoa,1
,Amir Rrahmani  •  Napoli,1
,Nicolò Casale  •  2 squads,1
,Sead Kolašinac  •  Atalanta,1
,Marin Pongračić  •  Fiorentina,1
,Giorgos Kyriakopoulos  •  Monza,1
,Mats Hummels  •  Roma,1
