Rank,Player,Value
1.0,Dušan Vlahović  •  Juventus,4
2.0,Christian Pulisic  •  Milan,3
,Joel Pohjanpalo  •  Venezia,3
,Mateo Retegui  •  Atalanta,3
,Riccardo Orsolini  •  Bologna,3
,Paulo Dybala  •  Roma,3
,Hakan Çalhanoğlu  •  Inter,3
,Romelu Lukaku  •  Napoli,3
,Hernani  •  Parma,3
10.0,Dan Ndoye  •  Bologna,2
,Valentín Castellanos  •  Lazio,2
,Mattia Zaccagni  •  Lazio,2
,Albert Guðmundsson  •  Fiorentina,2
,Piotr Zieliński  •  Inter,2
,Răzvan Marin  •  Cagliari,2
,Artem Dovbyk  •  Roma,2
,Ange-Yoan Bonny  •  Parma,2
,Gianluca Caprari  •  Monza,2
,Nikola Krstović  •  Lecce,2
,Lucas Beltrán  •  Fiorentina,2
