Rank,Player,Value
1.0,Souleymane Touré  •  Udinese,2
,Frederic Guilbert  •  Lecce,2
,Tommaso Pobega  •  Bologna,2
4.0,Jhon Lucumí  •  Bologna,1
,Mandela Keita  •  Parma,1
,Marc-Oliver Kempf  •  Como,1
,Tomáš Suslov  •  Hellas Verona,1
,Samuele Ricci  •  Torino,1
,Loum Tchaouna  •  Lazio,1
,Nicolás Valentini  •  2 squads,1
,Nuno Tavares  •  Lazio,1
,Éderson  •  Atalanta,1
,Pablo Marí  •  2 squads,1
,Jackson Tchatchoua  •  Hellas Verona,1
,Tijjani Reijnders  •  Milan,1
,Hans Nicolussi Caviglia  •  Venezia,1
,Suat Serdar  •  Hellas Verona,1
,Matteo Cancellieri  •  Parma,1
,Matthias Braunöder  •  Como,1
,Woyo Coulibaly  •  Parma,1
,Dailon Livramento  •  Hellas Verona,1
,Antonino Gallo  •  Lecce,1
,Dele Alli  •  Como,1
,Theo Hernández  •  Milan,1
,Guillermo Maripán  •  Torino,1
,Valentín Castellanos  •  Lazio,1
,Patrick Dorgu  •  Lecce,1
,Ali Dembélé  •  Torino,1
,Antoine Makoumbou  •  Cagliari,1
,Saba Goglichidze  •  Empoli,1
,Alieu Fadera  •  Como,1
,Oumar Solet  •  Udinese,1
,Jacopo Fazzini  •  Empoli,1
,Warren Bondo  •  2 squads,1
,Paweł Dawidowicz  •  Hellas Verona,1
,Hassane Kamara  •  Udinese,1
,Strahinja Pavlović  •  Milan,1
,Yacine Adli  •  Fiorentina,1
,Marin Pongračić  •  Fiorentina,1
,Alessio Romagnoli  •  Lazio,1
,Danilo D'Ambrosio  •  Monza,1
,Edoardo Goldaniga  •  Como,1
,Youssef Maleh  •  Empoli,1
,Zion Suzuki  •  Parma,1
,Fikayo Tomori  •  Milan,1
,Ante Rebić  •  Lecce,1
,Mario Hermoso  •  Roma,1
,Giovanni Leoni  •  Parma,1
,Michel Ndary Adopo  •  Cagliari,1
,Francisco Conceição  •  Juventus,1
,Alberto Dossena  •  Como,1
,Luca Marianucci  •  Empoli,1
,Yerry Mina  •  Cagliari,1
,Reda Belahyane  •  2 squads,1
,Alessandro Bastoni  •  Inter,1
,Ondrej Duda  •  Hellas Verona,1
,Davide Bartesaghi  •  Milan,1
