Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
1,Inter,15,11,3,1,34,17,17,36,2.4,28.8,13.9,14.9,0.99,16,9,5,2,35,13,22,32,2.0,28.3,13.6,14.7
2,Napoli,15,11,2,2,23,11,12,35,2.33,25.1,11.4,13.6,0.91,15,8,5,2,24,13,11,29,1.93,17.0,13.0,4.0
3,Atalanta,15,7,4,4,29,19,10,25,1.67,23.3,13.3,10.0,0.66,16,10,3,3,34,11,23,33,2.06,28.6,17.3,11.3
4,Juventus,16,8,7,1,25,14,11,31,1.94,22.5,13.3,9.2,0.58,15,6,7,2,22,15,7,25,1.67,19.6,15.1,4.5
5,Bologna,15,9,5,1,29,13,16,32,2.13,27.6,12.8,14.8,0.99,15,6,6,3,21,21,0,24,1.6,13.6,15.7,-2.1
6,Lazio,15,7,6,2,29,21,8,27,1.8,23.9,14.1,9.7,0.65,16,9,1,6,23,21,2,28,1.75,22.2,19.3,3.0
7,Roma,16,10,2,4,32,14,18,32,2.0,24.9,15.2,9.6,0.6,15,5,6,4,14,17,-3,21,1.4,20.4,17.7,2.7
8,Fiorentina,16,10,3,3,27,15,12,33,2.06,23.3,15.1,8.3,0.52,15,5,4,6,22,17,5,19,1.27,16.6,20.1,-3.5
9,Milan,16,7,7,2,25,14,11,28,1.75,26.3,15.8,10.5,0.65,15,6,2,7,22,23,-1,20,1.33,27.6,19.1,8.5
10,Torino,15,5,6,4,14,13,1,21,1.4,12.8,18.9,-6.1,-0.41,16,4,7,5,22,23,-1,19,1.19,14.3,22.1,-7.7
11,Udinese,15,7,2,6,19,18,1,23,1.53,15.2,19.1,-3.9,-0.26,16,4,5,7,17,24,-7,17,1.06,15.8,21.9,-6.1
12,Genoa,16,5,7,4,18,18,0,22,1.38,18.6,19.9,-1.3,-0.08,15,4,4,7,11,20,-9,16,1.07,13.2,18.3,-5.0
13,Como,15,5,5,5,23,23,0,20,1.33,19.9,17.1,2.8,0.19,16,3,4,9,16,25,-9,13,0.81,16.8,17.2,-0.4
14,Hellas Verona,15,4,2,9,13,32,-19,14,0.93,15.8,21.4,-5.7,-0.38,16,5,2,9,17,27,-10,17,1.06,13.2,24.5,-11.3
15,Cagliari,16,5,4,7,19,24,-5,19,1.19,20.5,22.4,-1.9,-0.12,15,2,5,8,12,20,-8,11,0.73,15.2,23.7,-8.5
16,Parma,16,4,5,7,24,27,-3,17,1.06,22.8,25.4,-2.6,-0.17,15,1,7,7,13,24,-11,10,0.67,13.2,25.0,-11.8
17,Lecce,16,3,6,7,12,27,-15,15,0.94,17.0,24.2,-7.2,-0.45,15,3,2,10,10,23,-13,11,0.73,11.8,24.5,-12.7
18,Empoli,15,1,6,8,5,20,-15,9,0.6,9.0,16.0,-7.0,-0.47,16,3,6,7,19,27,-8,15,0.94,17.8,25.5,-7.7
19,Venezia,15,3,5,7,12,16,-4,14,0.93,15.5,19.2,-3.7,-0.24,16,0,7,9,12,28,-16,7,0.44,12.1,28.4,-16.3
20,Monza,16,1,5,10,12,23,-11,8,0.5,13.4,19.7,-6.2,-0.39,15,1,4,10,13,32,-19,7,0.47,10.7,24.1,-13.4
