Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper
Atalanta,3,31.0,30,1,0,3,2,33.0,0.31,5.0,0.16,106,334,31.7,790,150,27.8,32.5,183,62.3,47.6,268,17,6.3,44,1.42
Bologna,2,30.0,34,2,0,2,2,29.7,0.34,-2.3,-0.08,130,356,36.5,1055,128,28.3,31.9,149,38.3,35.7,264,24,9.1,20,0.67
Cagliari,3,31.0,44,6,0,8,0,45.3,0.32,1.3,0.04,187,483,38.7,802,134,43.8,35.5,276,47.8,39.4,449,20,4.5,26,0.84
Como,3,31.0,48,7,0,6,0,37.6,0.28,-10.4,-0.33,119,316,37.7,949,134,30.8,32.2,157,15.3,20.3,344,21,6.1,52,1.68
Empoli,3,31.0,47,1,0,6,1,40.3,0.3,-5.7,-0.18,163,523,31.2,751,106,58.5,41.8,281,29.9,27.4,489,30,6.1,15,0.48
Fiorentina,2,31.0,32,1,0,1,1,33.4,0.25,2.4,0.08,187,433,43.2,752,115,41.8,36.0,246,48.4,39.8,412,11,2.7,24,0.77
Genoa,2,31.0,38,6,0,5,2,39.9,0.28,3.9,0.13,151,396,38.1,785,116,36.4,33.7,243,45.3,38.8,424,22,5.2,13,0.42
Hellas Verona,2,31.0,59,1,0,6,1,46.1,0.3,-11.9,-0.38,182,631,28.8,660,80,60.3,48.8,262,88.9,58.9,460,29,6.3,21,0.68
Inter,2,31.0,30,2,0,3,1,29.2,0.25,0.2,0.0,96,220,43.6,1059,123,18.2,26.8,148,18.2,24.8,339,15,4.4,12,0.39
Juventus,2,31.0,29,5,0,6,0,26.4,0.24,-2.6,-0.08,104,285,36.5,774,129,28.9,29.4,195,31.3,29.5,397,24,6.0,25,0.81
Lazio,2,31.0,42,4,0,3,2,33.1,0.32,-6.9,-0.22,158,415,38.1,984,102,35.2,33.3,221,31.2,28.9,408,35,8.6,37,1.19
Lecce,1,31.0,50,7,2,5,3,45.0,0.26,-2.0,-0.06,173,497,34.8,706,97,56.8,37.7,248,38.7,30.4,451,23,5.1,17,0.55
Milan,2,31.0,37,1,0,2,3,32.9,0.27,-1.1,-0.04,99,262,37.8,1055,144,19.2,24.6,224,26.3,31.3,364,22,6.0,63,2.03
Monza,2,31.0,55,2,1,8,2,48.2,0.3,-4.8,-0.15,188,455,41.3,849,120,43.5,33.6,262,32.8,29.4,452,19,4.2,26,0.84
Napoli,2,30.0,24,1,1,0,1,25.4,0.28,2.4,0.08,73,185,39.5,794,100,17.6,27.6,208,21.6,27.3,327,22,6.7,41,1.37
Parma,2,31.0,51,5,3,5,2,46.2,0.33,-2.8,-0.09,130,498,26.1,973,165,41.3,33.9,263,36.5,34.5,519,53,10.2,29,0.97
Roma,1,31.0,31,4,0,4,1,35.2,0.25,5.2,0.17,97,325,29.8,990,134,24.5,29.8,208,39.4,35.0,374,23,6.1,27,0.87
Torino,2,31.0,36,1,1,7,2,41.2,0.26,7.2,0.23,187,597,31.3,1104,158,40.8,37.3,264,55.7,48.2,521,32,6.1,46,1.48
Udinese,3,31.0,42,7,3,6,5,40.2,0.28,3.2,0.1,136,367,37.1,830,79,34.9,30.6,217,35.5,31.1,436,17,3.9,26,0.84
Venezia,3,31.0,44,8,0,7,3,48.6,0.26,7.6,0.25,99,414,23.9,845,128,40.8,31.0,280,24.6,24.7,498,27,5.4,18,0.58
