Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0
Atalanta,32,31.0,490,297,201,223,66,229,418,54.8,189,292,75,217,242,732,512
Bologna,30,30.0,476,277,169,217,90,229,439,52.2,210,317,80,237,207,683,544
Cagliari,26,31.0,454,253,222,190,42,206,372,55.4,166,279,105,174,216,670,722
Como,38,31.0,555,349,258,209,88,250,491,50.9,241,284,72,212,228,783,624
Empoli,34,31.0,584,338,270,251,63,269,467,57.6,198,336,120,216,269,853,907
Fiorentina,34,31.0,445,263,224,159,62,210,416,50.5,206,292,101,191,221,666,711
Genoa,34,31.0,562,329,232,241,89,226,461,49.0,235,340,99,241,253,815,759
Hellas Verona,32,31.0,557,353,275,218,64,259,491,52.7,232,328,111,217,277,834,780
Inter,25,31.0,415,237,172,165,78,198,381,52.0,183,288,95,193,191,606,518
Juventus,29,31.0,498,286,225,204,69,219,393,55.7,174,336,114,222,169,667,510
Lazio,27,31.0,436,267,195,182,59,207,421,49.2,214,259,78,181,252,688,573
Lecce,30,31.0,547,322,271,223,53,252,493,51.1,241,332,124,208,238,785,802
Milan,34,31.0,453,288,196,186,71,194,381,50.9,187,227,76,151,195,648,543
Monza,35,31.0,457,251,234,175,48,223,422,52.8,199,322,137,185,250,707,692
Napoli,26,30.0,438,265,195,192,51,215,396,54.3,181,254,77,177,220,658,604
Parma,32,31.0,414,232,210,156,48,190,383,49.6,193,353,122,231,227,641,765
Roma,28,31.0,449,267,187,191,71,187,366,51.1,179,271,91,180,241,690,572
Torino,28,31.0,379,205,187,138,54,185,351,52.7,166,288,119,169,235,614,728
Udinese,29,31.0,467,287,234,179,54,229,423,54.1,194,327,112,215,254,721,723
Venezia,36,31.0,492,297,260,162,70,239,477,50.1,238,360,115,245,227,719,760
